layer,eff_rank,mean_norm,sparsity,aa_probe_acc
0,15.993916511535645,2.794196367263794,0.0,1.0
1,45.06478500366211,94.27401733398438,0.0,1.0
2,151.65553283691406,112.53074645996094,6.048699106031563e-07,1.0
3,289.09771728515625,118.58507537841797,1.0887658845604165e-06,1.0
4,406.97796630859375,111.81597137451172,1.2097398212063126e-06,1.0
5,502.5626525878906,103.87061309814453,6.048699106031563e-07,1.0
6,520.8204956054688,93.64241790771484,8.468178975817864e-07,1.0
7,457.5817565917969,91.58797454833984,8.468178975817864e-07,1.0
8,383.930419921875,91.81524658203125,6.048699106031563e-07,1.0
9,328.2813415527344,95.92532348632812,9.677918342276826e-07,1.0
10,290.4023742675781,111.64698791503906,9.677918342276826e-07,1.0
11,242.59063720703125,124.71912384033203,9.677918342276826e-07,0.9992260061919505
12,212.31272888183594,160.82131958007812,3.629219520462357e-07,0.9984520123839009
13,231.3928985595703,186.92108154296875,3.629219520462357e-07,0.9984520123839009
14,275.7200927734375,216.0273895263672,2.4194795855692064e-07,0.9992260061919505
15,306.7659912109375,247.67959594726562,1.2097397927846032e-07,0.9984520123839009
16,332.83258056640625,262.5711669921875,2.4194795855692064e-07,0.9984520123839009
17,318.333984375,285.1701354980469,0.0,0.9976780185758514
18,322.1275634765625,301.9010925292969,2.4194795855692064e-07,0.9969040247678018
19,337.6141662597656,317.9964599609375,1.2097397927846032e-07,0.9953560371517027
20,349.2384338378906,333.39752197265625,1.2097397927846032e-07,0.989938080495356
21,376.4824523925781,343.9594421386719,1.2097397927846032e-07,0.9860681114551083
22,404.3800048828125,353.524169921875,2.4194795855692064e-07,0.9806501547987616
23,432.08221435546875,361.6130065917969,1.2097397927846032e-07,0.9814241486068112
24,465.8535461425781,368.4338073730469,1.2097397927846032e-07,0.9806501547987616
25,505.66021728515625,374.1974792480469,0.0,0.9829721362229102
26,545.5814819335938,384.1645202636719,1.2097397927846032e-07,0.9852941176470589
27,592.6072998046875,391.7552795410156,0.0,0.9845201238390093
28,637.8886108398438,399.61431884765625,3.629219520462357e-07,0.989938080495356
29,659.5980224609375,414.9613342285156,0.0,0.9930340557275542
30,661.8904418945312,445.7664489746094,0.0,0.9907120743034056
31,651.8929443359375,488.48455810546875,0.0,0.9945820433436533
32,582.7163696289062,554.664306640625,0.0,0.9945820433436533
33,321.6923828125,9.794283866882324,5.443829195428407e-06,0.9976780185758514
