layer,rankme,mean_norm,sparsity,aa_probe_acc
0,19.075227737426758,2.794196367263794,0.0,1.0
1,57.10059356689453,94.27401733398438,0.0,1.0
2,255.78256225585938,112.53074645996094,6.048699106031563e-07,1.0
3,487.8249816894531,118.58507537841797,1.0887658845604165e-06,1.0
4,658.4801635742188,111.81597137451172,1.2097398212063126e-06,1.0
5,772.8801879882812,103.87061309814453,6.048699106031563e-07,1.0
6,835.9417724609375,93.64241790771484,8.468178975817864e-07,1.0
7,852.0403442382812,91.58797454833984,8.468178975817864e-07,1.0
8,836.9556274414062,91.81524658203125,6.048699106031563e-07,1.0
9,784.5105590820312,95.92532348632812,9.677918342276826e-07,1.0
10,669.134033203125,111.64698791503906,9.677918342276826e-07,1.0
11,645.9125366210938,124.71912384033203,9.677918342276826e-07,0.9992260061919505
12,562.2169189453125,160.82131958007812,3.629219520462357e-07,0.9984520123839009
13,604.7399291992188,186.92108154296875,3.629219520462357e-07,0.9984520123839009
14,661.1639404296875,216.0273895263672,2.4194795855692064e-07,0.9984520123839009
15,701.4544067382812,247.67959594726562,1.2097397927846032e-07,0.9984520123839009
16,739.6403198242188,262.5711669921875,2.4194795855692064e-07,0.9984520123839009
17,753.5593872070312,285.1701354980469,0.0,0.9976780185758514
18,770.2217407226562,301.9010925292969,2.4194795855692064e-07,0.9969040247678018
19,787.078369140625,317.9964599609375,1.2097397927846032e-07,0.9953560371517027
20,803.2135009765625,333.39752197265625,1.2097397927846032e-07,0.989938080495356
21,832.067138671875,343.9594421386719,1.2097397927846032e-07,0.9860681114551083
22,855.510986328125,353.524169921875,2.4194795855692064e-07,0.9798761609907121
23,880.1800537109375,361.6130065917969,1.2097397927846032e-07,0.9821981424148607
24,903.4010620117188,368.4338073730469,1.2097397927846032e-07,0.9806501547987616
25,926.1932373046875,374.1974792480469,0.0,0.9829721362229102
26,945.2514038085938,384.1645202636719,1.2097397927846032e-07,0.9860681114551083
27,969.8884887695312,391.7552795410156,0.0,0.9845201238390093
28,992.431884765625,399.61431884765625,3.629219520462357e-07,0.989938080495356
29,1008.0494384765625,414.9613342285156,0.0,0.9930340557275542
30,1017.9864501953125,445.7664489746094,0.0,0.9907120743034056
31,1022.9595336914062,488.48455810546875,0.0,0.9945820433436533
32,1022.3514404296875,554.664306640625,0.0,0.9945820433436533
33,976.641357421875,9.794283866882324,5.443829195428407e-06,0.9976780185758514
