seq_len,model_type,compile,gc_layers,max_bs,peak_mem_gb,steps_per_sec,time_per_step,eff_bs_256_accum
128,baseline,True,0,98,72.52,1.233,0.811,3
128,baseline,True,5,98,72.52,1.23,0.813,3
128,baseline,True,10,98,72.52,1.234,0.81,3
128,repa,True,0,97,73.54,0.639,1.566,3
128,repa,True,5,97,73.54,0.643,1.555,3
128,repa,True,10,97,73.54,0.638,1.569,3
256,baseline,True,0,28,72.88,1.457,0.686,10
256,baseline,True,5,28,72.88,1.458,0.686,10
256,baseline,True,10,28,72.88,1.459,0.685,10
256,repa,True,0,28,72.99,1.019,0.981,10
256,repa,True,5,27,70.41,1.08,0.926,10
256,repa,True,10,27,70.42,1.081,0.925,10
512,baseline,True,0,7,68.19,1.499,0.667,37
512,baseline,True,5,7,68.19,1.497,0.668,37
512,baseline,True,10,7,68.19,1.498,0.667,37
512,repa,True,0,7,68.29,1.333,0.75,37
512,repa,True,5,7,68.29,1.351,0.74,37
512,repa,True,10,7,68.29,1.348,0.742,37
