seq_len,model_type,compile,gc_layers,max_bs,peak_mem_gb,steps_per_sec,time_per_step,eff_bs_256_accum
128,baseline,True,0,98,73.21,1.157,0.864,3
128,baseline,True,5,98,73.21,1.159,0.863,3
128,baseline,True,10,98,73.21,1.161,0.861,3
128,repa,True,0,3,,,,86
128,repa,True,5,3,,,,86
128,repa,True,10,3,,,,86
256,baseline,True,0,28,73.53,1.409,0.71,10
256,baseline,True,5,27,70.93,1.55,0.645,10
256,baseline,True,10,28,73.53,1.407,0.71,10
256,repa,True,0,3,,,,86
256,repa,True,5,3,,,,86
256,repa,True,10,3,,,,86
512,baseline,True,0,7,68.76,1.41,0.709,37
512,baseline,True,5,7,68.76,1.41,0.709,37
512,baseline,True,10,7,68.76,1.408,0.71,37
512,repa,True,0,7,68.86,1.295,0.772,37
512,repa,True,5,7,68.85,1.322,0.757,37
512,repa,True,10,7,68.86,1.3,0.769,37
