Run	Step	bs	samples	des N	PDB FID (↓)	PDB fJSD C (↓)	PDB fJSD A (↓)	PDB fJSD T (↓)	AFDB FID (↓)	AFDB fJSD C (↓)	AFDB fJSD A (↓)	AFDB fJSD T (↓)	Fold Score (Topo) (↑)	Designability (↑)	scRMSD mean (Å) (↓)	Diversity (clusters) (↑)	Diversity (pairwise TM) (↓)	SS %H ↑	SS %E ↑	SS JSD (PDB) ↓	SS JSD (AFDB) ↓	SS %H des. ↑	SS %E des. ↑	SS JSD des. (PDB) ↓	SS JSD des. (AFDB) ↓	SS JSD 2D (PDB) ↓	SS JSD 2D (AFDB) ↓	SS JSD 2D des. (PDB) ↓	SS JSD 2D des. (AFDB) ↓	Notes
External reference — (NVIDIA NGC DFS-60M v1.3, 12L)
Pretrained DFS-60M	1300K	—	—	200	310.4	1.244	1.423	2.576	268.0	0.659	0.774	1.707	20.76	0.955	0.884	183.0	0.134	0.700	0.057	0.1091	0.0759	0.705	0.053	0.1129	0.0791	0.4176	0.3334	0.4370	0.3458	— external NVIDIA NGC v1.3 (12L, ep=177, global_step=1.3M); N/A.
Layer ablation — (L0/L4/L9 vs baseline, bs=80, step=200K)
Baseline	200K	80	16.0M	200	351.7	0.272	1.534	2.970	350.3	0.421	1.618	2.806	12.09	0.745	2.067	61.00	0.409	0.320	0.256	0.0079	0.0123	0.322	0.249	0.0066	0.0107	0.2101	0.2282			✅ clean bs=80 (post-bump era).
REPA L0	200K	80	16.0M	200	478.4	0.602	1.108	2.937	468.2	0.380	0.865	2.493	18.49	0.425	3.691	64.00	0.186	0.371	0.186	0.0029	0.0014	0.505	0.151	0.0268	0.0127	0.0820	0.1034	0.2951	0.2897	✅ clean bs=80 (config-declared); evaluated 2026-05-09 at step=200K EMA snapshot.
REPA L4	200K	80	16.0M	200	347.0	0.544	1.153	2.658	348.5	0.338	1.031	2.522	15.50	0.825	1.856	94.00	0.377	0.425	0.192	0.0116	0.0053	0.439	0.190	0.0143	0.0066	0.2476	0.2676	0.3026	0.3322	✅ clean bs=80 (verified on wandb run proteina_60m_repa_l4_128_per_residue_bs80). The earlier nsamples_processed / global_step discrepancy was a Lightning resume-counter artefact, not a real bs change.
REPA L9	200K	80	16.0M	200	418.2	0.047	1.398	3.057	432.4	0.383	1.515	3.016	14.90	0.665	2.536	49.00	0.496	0.305	0.248	0.0058	0.0116	0.306	0.267	0.0092	0.0150	0.1648	0.2081	0.3225	0.3990	✅ clean bs=80 (config-declared); evaluated 2026-05-09 at step=200K EMA snapshot.
Layer ablation — per_residue — (mixed bs=24→80 @ step 220k, fair cross-layer)
Baseline (bs24)	400K	24	9.6M	200	306.6	0.134	0.693	2.129	309.8	0.062	0.518	1.696	30.78	0.295	4.682	52.00	0.169	0.429	0.186	0.0115	0.0048	0.684	0.073	0.0984	0.0671	0.1309	0.1054	0.4851	0.4439	✅ clean bs=24 across 10 ckpts (100k–1M).
REPA L0	400K	24→80†	19.7M	200	385.3	0.601	1.516	3.173	382.2	0.771	1.533	3.035	14.76	0.590	3.056	45.00	0.408	0.464	0.152	0.0161	0.0056	0.545	0.159	0.0417	0.0241	0.1452	0.1014	0.4392	0.4551	🔁 mixed bs=24→80 at step 220k. Same schedule as L4/L9 per_residue → cross-layer comparison fair.
REPA L4	400K	24→80†	19.7M	200	530.1	0.619	2.251	3.986	540.2	1.110	2.506	4.211	8.201	0.740	2.203	22.00	0.593	0.511	0.134	0.0275	0.0124	0.715	0.048	0.1194	0.0846	0.1839	0.0967	0.5136	0.4175	🔁 mixed bs=24→80 at step 220k. Same schedule as L0/L9 per_residue → cross-layer comparison fair.
REPA L9	400K	24→80†	19.7M	200	661.6	0.748	1.805	4.002	646.8	1.307	2.069	3.833	12.18	0.390	4.558	21.00	0.493	0.557	0.090	0.0434	0.0232	0.679	0.029	0.1111	0.0783	0.1915	0.1343	0.5358	0.4877	🔁 mixed bs=24→80 at step 220k. Same schedule as L0/L4 per_residue → cross-layer comparison fair.
Encoder ablation — (REPA L4 with 6 target encoders)
Baseline	200K	80	16.0M	200	349.5	0.289	1.545	2.936	350.4	0.429	1.627	2.798	12.26	0.740	2.053	61.00	0.406	0.320	0.256	0.0079	0.0123	0.322	0.249	0.0066	0.0107	0.2101	0.2282			✅ clean bs=80 (post-bump era).
CA-GearNet	200K	80	16.0M	200	347.0	0.544	1.153	2.658	348.5	0.338	1.031	2.522	15.50	0.825	1.856	94.00	0.377																	✅ clean bs=80 (verified on wandb run proteina_60m_repa_l4_128_per_residue_bs80). The earlier nsamples_processed / global_step discrepancy was a Lightning resume-counter artefact, not a real bs change.
GearNet random	200K	80	16.0M	200	302.7	0.259	0.807	2.292	308.3	0.128	0.630	1.923	25.29	0.700	2.209	112.0	0.181	0.453	0.194	0.0182	0.0094	0.522	0.166	0.0342	0.0188	0.2561	0.2385	0.3456	0.3367	✅ clean bs=80; started 04-23.
PW-Structure	100K	80†	8.0M	200	522.1	1.127	1.651	3.244	500.8	0.860	1.541	2.868	12.15	0.245	4.924	17.00	0.382	0.319	0.170	0.0001	0.0032	0.268	0.252	0.0066	0.0162	0.1237	0.1515	0.4462	0.5321	🚫 rerun candidate: yaml claims bs=80 but bs_eff=24 throughout (config-vs-runtime divergence).
PW-Torsional	100K	80†	8.0M	200	521.8	0.863	1.731	3.285	496.4	0.710	1.654	2.888	8.706	0.420	2.667	48.00	0.462	0.316	0.225	0.0029	0.0073	0.424	0.166	0.0088	0.0022	0.2087	0.2519	0.3207	0.3479	🚫 rerun candidate: bs_eff=21.2 — neither clean 24 nor 80 (mixed/ramped phases).
ProteinMPNN	200K	80	16.0M	200	396.3	0.423	1.383	2.733	396.8	0.478	1.459	2.629	13.15	0.885	1.357	88.00	0.398	0.329	0.255	0.0082	0.0118	0.326	0.258	0.0086	0.0125	0.2782	0.3150	0.3054	0.3464	✅ clean bs=80; started 05-05.
ESM2	200K	80	16.0M	200	310.7	0.404	0.827	2.285	307.6	0.196	0.613	1.893	23.78	0.565	3.292	78.00	0.228																	✅ clean bs=80; started 04-18 at bump cutoff.
λ ablation — (REPA L4, bs=80, λ ∈ {0.5, 2.0}; λ=1.0 pending)
λ=0.5	200K	80	16.0M	200	357.5	0.587	1.184	2.863	355.0	0.400	1.091	2.718	13.65	0.845	1.747	93.00	0.382	0.340	0.131	0.0029	0.0030	0.617	0.093	0.0652	0.0400	0.0339	0.0257	0.4861	0.4193	✅ clean bs=80 (verified on wandb run proteina_60m_repa_l4_128_per_residue_bs80). The earlier nsamples_processed / global_step discrepancy was a Lightning resume-counter artefact, not a real bs change.
λ=2.0	185K	80	14.8M	200	340.0	0.042	1.085	2.768	368.7	0.320	1.175	2.773	18.45	0.510	4.700	45.00	0.438	0.303	0.216	0.0018	0.0073	0.390	0.224	0.0103	0.0076	0.1348	0.1774	0.3130	0.3712	✅ clean bs=80 (config-declared); wandb verification recommended per audit method.
Weight-decay ablation — (REPA L4, bs=80, wd default vs 1e-2)
wd default	200K	80	16.0M	200	357.5	0.587	1.184	2.863	355.0	0.400	1.091	2.718	13.65	0.845	1.747	93.00	0.382																	✅ clean bs=80 (verified on wandb run proteina_60m_repa_l4_128_per_residue_bs80). The earlier nsamples_processed / global_step discrepancy was a Lightning resume-counter artefact, not a real bs change.
wd=1e-2	200K	80	16.0M	200	478.7	0.355	1.590	3.321	491.6	0.543	1.778	3.342	8.616	0.855	1.603	48.00	0.558																	✅ clean bs=80, wd=1e-2 (config-declared); evaluated 2026-05-09 at step=200K EMA snapshot.
Batch size + LR ablation — (bs ∈ {24,80} × lr ∈ {1×,3×} × ±REPA)
BL bs24 200k	200K	24	4.8M	200	315.6	0.517	0.922	2.329	318.3	0.291	0.761	1.970	27.68	0.050	7.230	10.00	0.136	0.425	0.192	0.0116	0.0053	0.439	0.190	0.0143	0.0066	0.2476	0.2676	0.3026	0.3322	✅ clean bs=24 across 10 ckpts (100k–1M).
L4 bs24 200k	200K	24	4.8M	200	310.5	0.380	1.002	2.399	328.2	0.307	0.869	2.187	24.40	0.410	4.177	56.00	0.352	0.396	0.170	0.0049	0.0008	0.519	0.128	0.0298	0.0138	0.1089	0.1068	0.4602	0.4901	✅ clean bs=24 at 100k+200k.
BL bs24 400k	400K	24	9.6M	200	306.6	0.134	0.693	2.129	309.8	0.062	0.518	1.696	30.78	0.260	4.824	45.00	0.172	0.429	0.186	0.0115	0.0048	0.684	0.073	0.0984	0.0671	0.1309	0.1054	0.4851	0.4439	✅ clean bs=24 across 10 ckpts (100k–1M).
L4 bs24 400k	400K	24	9.6M	200	305.0	0.459	0.882	2.297	314.2	0.212	0.545	1.931	29.34	0.500	3.239	86.00	0.179	0.486	0.132	0.0209	0.0079	0.661	0.075	0.0862	0.0569	0.1548	0.1289	0.4358	0.4005	✅ clean bs=24; counter reset on resume but per-step delta 300k→400k = 2.4M = bs=24.
BL bs80 200k	200K	80	16.0M	200	349.5	0.289	1.545	2.936	350.4	0.429	1.627	2.798	12.26	0.745	1.983	62.00	0.407	0.425	0.192	0.0116	0.0053	0.439	0.190	0.0143	0.0066	0.2476	0.2676	0.3026	0.3322	✅ clean bs=80 (post-bump era).
L4 bs80 200k	200K	80	16.0M	200	347.0	0.544	1.153	2.658	348.5	0.338	1.031	2.522	15.50	0.825	1.856	94.00	0.377	0.425	0.192	0.0116	0.0053	0.439	0.190	0.0143	0.0066	0.2476	0.2676	0.3026	0.3322	✅ clean bs=80 (verified on wandb run proteina_60m_repa_l4_128_per_residue_bs80). The earlier nsamples_processed / global_step discrepancy was a Lightning resume-counter artefact, not a real bs change.
BL bs80 lr3× 200k	200K	80	16.0M	200	383.0	1.034	1.455	2.633	376.9	0.696	1.130	2.252	19.76	0.425	3.241	82.00	0.149	0.425	0.192	0.0116	0.0053	0.439	0.190	0.0143	0.0066	0.2476	0.2676	0.3026	0.3322	✅ clean bs=80; started 04-27.
L4 bs80 lr3× last	161K	80	12.9M	200	494.7	0.346	1.434	3.270	489.3	0.656	1.639	3.078	11.00	0.515	4.122	35.00	0.554	0.272	0.241	0.0051	0.0142	0.276	0.263	0.0081	0.0170	0.2236	0.2794	0.3994	0.4786	✅ clean bs=80; started 04-26.
Reference ranges — Proteina paper Table 1 (n=256 lengths 50-275; sanity band only, NOT directly comparable)
paper min–max	—	—	—	—	129.9–933.9	—	—	0.680–3.690	159.9–855.4	—	—	0.910–3.100	9.720–30.11	0.220–0.990	—	64.00–323.0	0.350–0.450																	—
