ablation_id	run	step	_res_PDB_FID	_res_AFDB_FID	_res_fS_T	_res_designability_rate	_res_scRMSD_mean	_res_diversity_clusters_total	_res_diversity_pairwise_tm_mean	_res_novelty_foldseek_pdb_rate	_res_novelty_foldseek_afdb_swissprot_rate	H/E des	_res_ss_jsd_pdb_2d	_res_ss_jsd_afdb_2d	config_name	ckpt_path	_res_AFDB_fJSD_A	_res_AFDB_fJSD_C	_res_AFDB_fJSD_T	_res_PDB_fJSD_A	_res_PDB_fJSD_C	_res_PDB_fJSD_T	_res_designability_n	_res_diversity_clusters_mean	_res_diversity_clusters_median	_res_diversity_designable_filtered	_res_diversity_n	_res_diversity_n_bins	_res_diversity_pairwise_tm_median	_res_fS_A	_res_fS_C	_res_novelty_designable_filtered	_res_novelty_foldseek_afdb_swissprot_alignment_type	_res_novelty_foldseek_afdb_swissprot_foldseek_version	_res_novelty_foldseek_afdb_swissprot_max_seqs	_res_novelty_foldseek_afdb_swissprot_max_tm_mean	_res_novelty_foldseek_afdb_swissprot_max_tm_median	_res_novelty_foldseek_afdb_swissprot_n	_res_novelty_foldseek_afdb_swissprot_n_input	_res_novelty_foldseek_afdb_swissprot_sensitivity	_res_novelty_foldseek_afdb_swissprot_target_db	_res_novelty_foldseek_pdb_alignment_type	_res_novelty_foldseek_pdb_foldseek_version	_res_novelty_foldseek_pdb_max_seqs	_res_novelty_foldseek_pdb_max_tm_mean	_res_novelty_foldseek_pdb_max_tm_median	_res_novelty_foldseek_pdb_n	_res_novelty_foldseek_pdb_n_input	_res_novelty_foldseek_pdb_sensitivity	_res_novelty_foldseek_pdb_target_db	_res_novelty_max_tm_mean	_res_novelty_max_tm_median	_res_novelty_n	_res_novelty_rate	_res_plddt_mean	_res_plddt_median	_res_scRMSD_median	_res_ss_frac_C	_res_ss_frac_C_designable	_res_ss_frac_E	_res_ss_frac_E_designable	_res_ss_frac_H	_res_ss_frac_H_designable	_res_ss_jsd_afdb	_res_ss_jsd_afdb_designable	_res_ss_jsd_afdb_designable_2d	_res_ss_jsd_pdb	_res_ss_jsd_pdb_designable	_res_ss_jsd_pdb_designable_2d	_res_ss_n	_res_ss_n_designable	_res_tm_score_self_mean	H/E	ablation
n256_external_reference	pretrained_dfs_60m_n256_paper	1300000	319.8253479003906	300.0979919433594	19.66839027404785	0.92	1.1332926136255264	226	0.14615852065552892	0.008695652173913	0.0130434782608695	13.370813068447232	0.41764631558240034	0.33339977338049126	inference/paper/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_pretrained_dfs_60m/checkpoints/last-EMA.ckpt	1.2405685569078817	0.6796303839490582	2.1974736943516064	1.7527297177450796	1.2273116521479812	2.6494360748243775	250	45.2	45.0	True	230	5	0.14358816494985396	4.880018711090088	1.8488761186599731		1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.8055126086956523	0.8288	230	230	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.8097243478260868	0.8284	230	230	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db					0.7637898026704788	0.7714036405086517	0.7955857515335083	0.24330752733686062	0.2420333333333333	0.056858948853615546	0.05274347826086957	0.6998335238095237	0.7052231884057973	0.07587400175309301	0.07912066676915767	0.34575816015851324	0.10909421606221117	0.1129435185266079	0.4369600246707047	1125	230	0.9378928201802571	12.308238859836443	External reference — NVIDIA NGC DFS-60M v1.3 (12L)
n256_pdb_encoder_layer_bs	baseline_256_ep21	400000	441.7759094238281	462.0184326171875	30.0784969329834	0.124	6.311395895004273	30	0.15623889577461011	0.032258064516129	0.064516129032258	183.89598108747052	0.31254577554235613	0.3009322201249876	inference/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt	0.47406492113708665	0.26658932671991825	2.5670691886324617	0.48033187487833184	0.4209309640283522	2.5099823516368973	250	6.0	5.0	True	31	5	0.15001763725280762	6.563713073730469	2.6863279342651367	True	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.6621322580645163	0.6928	31	31	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.6952806451612903	0.7245	31	31	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db	0.48988762713113254	0.5017906597682408	31	0.4838709677419355	0.5131446032524108	0.4968464970588684	5.308413505554199	0.33138445149911877	0.1590215053763441	0.21892888888888912	0.004548387096774193	0.4496866596119924	0.836430107526882	0.014337906208915382	0.1826845886049482	0.7145676368621732	0.022592317198614698	0.2295483183432453	0.7775515084129487	1125	31	0.5364380279566446	2.0540307032765215	n=256 PDB REPA encoder + layer + bs ablation
n256_pdb_encoder_layer_bs	repa_l4_256_ep22	400000	357.43414306640625	410.6455993652344	40.35282516479492	0.32	5.346505417585373	76	0.17177256661103307	0.0125	0.0375	14.790147783251234	0.18393352684362735	0.09668471201405948	inference/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt	0.7188785402030253	0.3293258066272842	1.9983804027901966	0.4906438516656684	0.09315530012050605	1.8655545334797872	250	15.2	13.0	True	80	5	0.15145609382019248	6.920417785644531	2.5036423206329346	True	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.732555	0.74695	80	80	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.7667525000000001	0.7615000000000001	80	80	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db	0.5044858668841586	0.5180424613626594	80	0.3875	0.5440993875265121	0.5442732274532318	3.686623215675354	0.35540794356260963	0.2368095238095238	0.13356530511463835	0.04833333333333334	0.5110267513227513	0.7148571428571431	0.01242800668284891	0.08461923317048207	0.41748735212349414	0.027514467266203154	0.11940924271003617	0.5135740070079683	1125	80	0.6270006810403249	3.8260441278829105	n=256 PDB REPA encoder + layer + bs ablation
n256_pdb_encoder_layer_bs	repa_l4_256_random_ep17	200000	600.1931762695312	673.469970703125	38.423336029052734	0.16	6.4352976553440095	40	0.17246922092256095	0.025	0.025	30.773440106773442	0.210846746107662	0.13498337939588534	inference/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue_random/checkpoints/chk_epoch=00000017_step=000000200000-EMA.ckpt	0.6228337282422202	0.29743651729948406	2.833844365233503	0.36229523770063843	0.10257928699496499	2.680640982726902	250	8.0	6.0	True	40	5	0.17299644833519348	6.260438442230225	2.480192184448242	True	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.71142	0.72195	40	40	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.731815	0.7429	40	40	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db	0.4960525108523699	0.49090815229075296	40	0.55	0.5048485766649247	0.47976866364479065	5.794729709625244	0.33115051851851823	0.20645833333333333	0.11927428571428572	0.024975000000000004	0.5495751957671954	0.7685666666666668	0.020474681545993294	0.12121885608408728	0.48636481339911947	0.039217017819372854	0.16144571304358699	0.5748057762266043	1125	40	0.5591260278244019	4.607658662351324	n=256 PDB REPA encoder + layer + bs ablation
n256_pdb_encoder_layer_bs	repa_l9_256_ep25	400000	297.15728759765625	337.2703857421875	33.583072662353516	0.484	4.667461900472641	84	0.3570245878672631	0.0165289256198347	0.0165289256198347	23.711321514907347	0.19150584933769532	0.13431541428492408	inference/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_256_per_residue/checkpoints/chk_epoch=00000025_step=000000400000-EMA.ckpt	0.6623607282885551	0.2371054230382036	2.3682861146666094	0.8081665941797682	0.4409642140881056	2.228450399590785	250	16.8	8.0	True	121	5	0.1582784965353668	5.858951568603516	2.4456379413604736	True	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.7778537190082645	0.7743	121	121	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.793800826446281	0.7753	121	121	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db	0.5062645044129637	0.5137689887152778	121	0.3884297520661157	0.5947372510433196	0.626425713300705	2.2319658994674683	0.3530074215167547	0.291965367965368	0.09001791887125231	0.02865223665223665	0.5569746596119941	0.6793823953823958	0.023185735909574012	0.07829429489164984	0.4877285996055806	0.043409712425781975	0.1111190440842004	0.5358306001995998	1125	121	0.6838788545239162	6.187375431424986	n=256 PDB REPA encoder + layer + bs ablation
n256_pdb_encoder_layer_bs	repa_mpnn_l4_256_per_residue_step300k	300000	261.21453857421875	307.7307434082031	31.797996520996094	0.412	3.9360020389556887	89	0.19267099894738898	0.0097087378640776	0.0194174757281553	3.436516831445382	0.2669590120707318	0.21368715100555466	inference/paper/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_mpnn_l4_256_per_residue/checkpoints/chk_epoch=00000026_step=000000300000-EMA.ckpt	0.7510078711960327	0.30979840454020946	1.918414706349021	0.33386927558083973	0.05583755281107909	1.6419088788276288	250	17.8	12.0	True	103	5	0.17260117748327425	5.882739067077637	2.6432061195373535		1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.7362660194174756	0.742	103	103	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.7544009708737862	0.7541	103	103	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db					0.5850516276359559	0.5915734767913818	2.236462950706482	0.32981956966490256	0.2826051779935276	0.1889139188712521	0.1617022653721683	0.48126651146384514	0.5556925566343042	0.013777051301818662	0.02786831058909168	0.3597582705265431	0.02523479288331769	0.04627561171213217	0.41350796870872364	1125	103	0.7476432880299886	2.5475439519723055	n=256 PDB REPA encoder + layer + bs ablation
n256_pdb_encoder_layer_bs	repa_esm_l9_t30_256_steplast	322000	314.5523376464844	318.1969299316406	30.363229751586914	0.168	6.108714533567428	42	0.1494355876614349	0.0476190476190476	0.0714285714285714	32.82605752961082	0.38180851276295386	0.2940094418094545	inference/paper/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l9_t30_256_per_residue/checkpoints/last-EMA.ckpt	0.5564958281515757	0.4089117079644743	2.0124782032748714	0.8906453885129542	0.7420000886477611	2.306774622310945	250	8.4	9.0	True	42	5	0.144780108350696	3.848498821258545	2.03751540184021		1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.6279476190476191	0.65995	42	42	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.6711785714285715	0.68385	42	42	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db					0.5398265786170959	0.5403719544410706	5.095300912857056	0.26778394356261004	0.20669841269841277	0.10360033862433879	0.023452380952380957	0.6286157178130513	0.7698492063492063	0.044581386124551786	0.12282577729601632	0.6328272890139905	0.07040479695163603	0.16323271206680118	0.7090057179352545	1125	42	0.5728353815739949	6.0676994511808555	n=256 PDB REPA encoder + layer + bs ablation
n256_pdb_l4_wd_lambda_bs	baseline_256_ep21	400000	441.7759094238281	462.0184326171875	30.0784969329834	0.124	6.311395895004273	30	0.15623889577461011	0.032258064516129	0.064516129032258	183.89598108747052	0.31254577554235613	0.3009322201249876	inference/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt	0.47406492113708665	0.26658932671991825	2.5670691886324617	0.48033187487833184	0.4209309640283522	2.5099823516368973	250	6.0	5.0	True	31	5	0.15001763725280762	6.563713073730469	2.6863279342651367	True	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.6621322580645163	0.6928	31	31	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.6952806451612903	0.7245	31	31	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db	0.48988762713113254	0.5017906597682408	31	0.4838709677419355	0.5131446032524108	0.4968464970588684	5.308413505554199	0.33138445149911877	0.1590215053763441	0.21892888888888912	0.004548387096774193	0.4496866596119924	0.836430107526882	0.014337906208915382	0.1826845886049482	0.7145676368621732	0.022592317198614698	0.2295483183432453	0.7775515084129487	1125	31	0.5364380279566446	2.0540307032765215	n=256 PDB L4 GearNet REPA weight-decay + λ + bs ablation
n256_pdb_l4_wd_lambda_bs	repa_l4_256_ep22	400000	357.43414306640625	410.6455993652344	40.35282516479492	0.32	5.346505417585373	76	0.17177256661103307	0.0125	0.0375	14.790147783251234	0.18393352684362735	0.09668471201405948	inference/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt	0.7188785402030253	0.3293258066272842	1.9983804027901966	0.4906438516656684	0.09315530012050605	1.8655545334797872	250	15.2	13.0	True	80	5	0.15145609382019248	6.920417785644531	2.5036423206329346	True	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.732555	0.74695	80	80	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	1	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.7667525000000001	0.7615000000000001	80	80	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db	0.5044858668841586	0.5180424613626594	80	0.3875	0.5440993875265121	0.5442732274532318	3.686623215675354	0.35540794356260963	0.2368095238095238	0.13356530511463835	0.04833333333333334	0.5110267513227513	0.7148571428571431	0.01242800668284891	0.08461923317048207	0.41748735212349414	0.027514467266203154	0.11940924271003617	0.5135740070079683	1125	80	0.6270006810403249	3.8260441278829105	n=256 PDB L4 GearNet REPA weight-decay + λ + bs ablation
n256_pdb_l4_wd_lambda_bs	repa_l4_256_per_residue_lambda1_step200k	200000	505.30255126953125	559.0166625976562	25.217655181884766	0.124	7.110977934122086	30	0.3396177846760142	0.967741935483871	1.0	13.29423660262892	0.09398609855287318	0.10305736372093267	inference/paper/inference_fid_60m_paper	/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue_lambda1/checkpoints/chk_epoch=00000017_step=000000200000-EMA.ckpt	1.0090524390595021	0.3654611960935876	2.6742273491800663	0.6624527401226026	0.23258363594937942	2.407682151019917	250	7.5	6.0	True	31	4	0.16946456305185953	7.620838642120361	2.9929606914520264		2	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.0	0.0	31	31	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/afdb_swissprot/db	2	8dc75c74ad0eddab73cfd905963d13bf74dc012b	1000	0.03139677419354839	0.0	31	31	9.5	/rds/user/sr2173/hpc-work/proteina/foldseek_dbs/pdb/db					0.524263965010643	0.5192650258541107	5.966005802154541	0.4643467231040563	0.23994623655913977	0.18035863139329789	0.053172043010752686	0.35529464550264533	0.7068817204301077	0.0011918129129135984	0.0798010595225956	0.4501423588247122	0.0012847069711824843	0.11374294860815727	0.5092707357716999	1125	31	0.5396032550849915	1.9699342513188314	n=256 PDB L4 GearNet REPA weight-decay + λ + bs ablation
