dataset,model,training_step,sampler,n_reps,sample__Des% ↑,sample__scRMSD ↓,sample__pLDDT ↑,tertiary_whole__FID-PDB ↓,tertiary_whole__FID-AFDB ↓,tertiary_whole__fJSD-A ↓,tertiary_whole__fS-A ↑,tertiary_designable__#Clust ↑,tertiary_designable__pwTM ↓,tertiary_designable__Nov-PDB% ↑,tertiary_designable__Nov-AFDB% ↑,secondary_whole__fJSD-C ↓,secondary_whole__fS-C ↑,secondary_designable__ss-JSD-2D ↓,secondary_designable__α/β %
PDB,Baseline @ 1.0M,1000000,ODE,1,4.4,9.62,0.45,307,362,0.33,6.94,6,0.15,27.3,27.3,0.30,2.68,0.64,78 / 2
PDB,Baseline @ 1.0M,1000000,γ=0,1,91.6,1.34,0.70,821,849,2.25,3.79,16,0.71,0.4,4.8,0.21,1.94,0.54,61 / 12
PDB,Baseline @ 1.0M,1000000,γ=0.35,1,65.2,2.33,0.65,457,535,1.11,5.52,150,0.19,0.6,1.2,0.19,2.16,0.41,55 / 16
PDB,Baseline @ 1.0M,1000000,γ=0.45,3,54.4,2.69,0.63,467,541,0.95,5.67,113,0.16,2.9,4.0,0.14,2.25,0.39,56 / 15
PDB,Baseline @ 1.0M,1000000,γ=0.5,1,47.6,2.95,0.62,467,541,0.78,5.87,116,0.17,1.7,2.5,0.11,2.32,0.36,59 / 13
PDB,Baseline @ 1.0M,1000000,γ=1,1,2.0,8.94,0.48,674,688,0.68,6.47,5,0.10,40.0,40.0,0.47,2.69,0.54,68 / 0
PDB,REPA L9 @ 900K,900000,ODE,1,12.0,8.59,0.49,356,394,0.61,6.53,13,0.39,13.3,16.7,0.30,2.75,0.26,31 / 22
PDB,REPA L9 @ 900K,900000,γ=0,1,43.6,3.23,0.60,341,428,0.62,7.22,72,0.34,1.8,2.8,0.23,2.65,0.34,48 / 20
PDB,REPA L9 @ 900K,900000,γ=0.35,0,,,,,,,,,,,,,,,
PDB,REPA L9 @ 900K,900000,γ=0.45,3,57.1,3.36,0.64,325,390,0.54,7.42,62,0.27,3.6,5.1,0.02,2.72,0.20,40 / 22
PDB,REPA L9 @ 900K,900000,γ=0.5,0,,,,,,,,,,,,,,,
PDB,REPA L9 @ 900K,900000,γ=1,1,6.4,8.78,0.50,663,677,1.07,6.25,3,0.69,0.0,0.0,0.48,2.73,0.48,4 / 39
PDB,Baseline @ 1.5M,1500000,ODE,1,8.8,7.63,0.52,213,228,0.36,6.56,18,0.13,27.3,31.8,0.10,2.77,0.65,77 / 5
PDB,Baseline @ 1.5M,1500000,γ=0,1,75.6,2.58,0.66,737,721,3.54,5.49,27,0.58,0.0,0.0,0.35,2.65,0.54,64 / 13
PDB,Baseline @ 1.5M,1500000,γ=0.35,1,72.8,2.41,0.66,333,384,1.34,6.20,159,0.19,3.8,4.9,0.17,2.32,0.47,58 / 16
PDB,Baseline @ 1.5M,1500000,γ=0.45,3,64.4,2.36,0.65,318,363,1.21,6.39,87,0.18,5.1,5.6,0.13,2.38,0.44,61 / 13
PDB,Baseline @ 1.5M,1500000,γ=0.5,1,57.2,2.62,0.64,313,354,1.07,6.42,129,0.17,9.8,11.9,0.10,2.40,0.45,62 / 13
PDB,Baseline @ 1.5M,1500000,γ=1,1,11.6,7.29,0.53,447,442,0.71,6.13,21,0.17,31.0,34.5,0.26,2.80,0.57,74 / 3
AFDB,Baseline @ 700K,700000,ODE,1,12.0,6.69,0.56,231,220,0.75,6.66,22,0.20,0.0,3.3,0.11,2.62,0.22,45 / 14
AFDB,Baseline @ 700K,700000,γ=0,1,91.2,1.20,0.72,627,641,2.37,4.83,33,0.69,7.0,6.6,0.59,1.81,0.34,45 / 19
AFDB,Baseline @ 700K,700000,γ=0.35,1,72.4,1.88,0.69,492,522,2.31,4.31,118,0.25,2.8,5.5,0.73,1.84,0.26,46 / 16
AFDB,Baseline @ 700K,700000,γ=0.45,2,72.4,2.06,0.69,464,494,2.12,4.50,128,0.22,4.7,6.1,0.64,1.90,0.26,47 / 15
AFDB,Baseline @ 700K,700000,γ=0.5,1,69.2,2.43,0.67,443,475,1.83,5.02,131,0.22,5.2,3.5,0.52,2.01,0.20,47 / 15
AFDB,Baseline @ 700K,700000,γ=1,1,21.2,5.98,0.60,363,366,0.81,5.99,47,0.15,1.9,7.5,0.07,2.72,0.17,49 / 11
AFDB,REPA L4 @ 700K,700000,ODE,1,34.8,6.92,0.65,156,148,0.28,7.02,54,0.19,8.0,9.2,0.07,2.59,0.15,46 / 14
AFDB,REPA L4 @ 700K,700000,γ=0,1,96.4,1.12,0.76,577,586,2.07,4.59,24,0.68,0.0,1.2,0.75,1.69,0.26,44 / 14
AFDB,REPA L4 @ 700K,700000,γ=0.35,1,83.6,1.88,0.75,275,328,0.74,6.89,93,0.31,7.7,8.6,0.11,2.32,0.17,48 / 13
AFDB,REPA L4 @ 700K,700000,γ=0.45,2,77.0,2.32,0.74,252,298,0.60,6.83,95,0.26,7.8,8.1,0.06,2.40,0.16,47 / 14
AFDB,REPA L4 @ 700K,700000,γ=0.5,1,72.4,2.62,0.73,247,292,0.60,6.87,90,0.25,6.6,6.1,0.04,2.45,0.17,47 / 14
