n	run	N_gen	N_des_eval	N_des	des_p	des_ci_lo	des_ci_hi	des_ci_halfwidth	pdb_3bin	pdb_3bin_ci_lo	pdb_3bin_ci_hi	pdb_2d	pdb_2d_ci_lo	pdb_2d_ci_hi	pdb_3bin_des	pdb_3bin_des_ci_lo	pdb_3bin_des_ci_hi	pdb_2d_des	pdb_2d_des_ci_lo	pdb_2d_des_ci_hi
128	baseline_128_bs24_step200k	500	200	10	0.05000	0.02738	0.08958	0.03110	0.00656	0.00535	0.00821	0.14762	0.12517	0.17647	0.17009	0.13494	0.21932	0.71840	0.69708	0.77554
128	baseline_128_bs24_step400k	500	200	59	0.29500	0.23614	0.36159	0.06272	0.01155	0.00834	0.01559	0.13089	0.10939	0.15904	0.09841	0.06291	0.14239	0.48506	0.42497	0.59659
128	baseline_128_bs24_step400k	500	200	52	0.26000	0.20414	0.32491	0.06039	0.01155	0.00832	0.01552	0.13089	0.10963	0.15915	0.07924	0.04524	0.12002	0.45746	0.38949	0.59546
128	baseline_128_bs80_lr3x_step200k	500	200	85	0.42500	0.35853	0.49429	0.06788	0.02706	0.02219	0.03399	0.41671	0.38417	0.45764	0.18379	0.14414	0.22769	0.73627	0.70419	0.78799
128	baseline_128_bs80_lr3x_step200k	500	0	0	0.00000	0.00000	0.00762	0.00381	0.02869	0.02364	0.03504	0.43493	0.40529	0.47114	nan	nan	nan	nan	nan	nan
128	baseline_128_bs80_step200k	500	0	0	0.00000	0.00000	0.00762	0.00381	0.00580	0.00455	0.00802	0.21010	0.18530	0.24304	nan	nan	nan	nan	nan	nan
128	baseline_128_bs80_step200k	550	200	149	0.74500	0.68037	0.80040	0.06001	0.00788	0.00682	0.00972	0.23700	0.21433	0.26670	0.00658	0.00522	0.01116	0.30262	0.27305	0.35574
128	pretrained_dfs_60m_n128_paper	500	200	191	0.95500	0.91670	0.97615	0.02972	0.09903	0.08856	0.11047	0.39548	0.36272	0.43617	0.10274	0.08696	0.12064	0.41120	0.36240	0.47723
128	repa_esm_l4_128_step200k	500	200	113	0.56500	0.49571	0.63184	0.06807	0.02402	0.01726	0.03257	0.20705	0.18250	0.24065	0.04856	0.02938	0.07379	0.38939	0.34438	0.45672
128	repa_esm_l4_128_step200k	500	55	40	0.72727	0.59768	0.82719	0.11476	0.02402	0.01699	0.03206	0.20705	0.18233	0.23962	0.15910	0.11692	0.21037	0.54869	0.45705	0.70625
128	repa_l0_128_bs80_step200k	500	200	85	0.42500	0.35853	0.49429	0.06788	0.00290	0.00150	0.00534	0.08198	0.06577	0.10600	0.02682	0.01104	0.04894	0.29514	0.25530	0.37434
128	repa_l0_128_bs80_steplast	500	200	2	0.01000	0.00275	0.03572	0.01649	0.00037	0.00001	0.00160	0.02966	0.02138	0.04766	0.15521	0.15108	0.15952	0.73270	0.73270	0.73270
128	repa_l0_128_bs80_steplast	500	15	0	0.00000	0.00000	0.20389	0.10194	0.00037	0.00001	0.00171	0.02966	0.02044	0.04715	nan	nan	nan	nan	nan	nan
128	repa_l0_128_per_residue_step400k	500	200	118	0.59000	0.52076	0.65584	0.06754	0.00587	0.00345	0.00969	0.21242	0.18821	0.24499	0.00822	0.00411	0.01863	0.30122	0.25310	0.38411
128	repa_l4_128_bs24_step200k	500	200	82	0.41000	0.34416	0.47924	0.06754	0.00486	0.00236	0.00835	0.10892	0.08976	0.13623	0.02975	0.01229	0.05645	0.46019	0.43532	0.50007
128	repa_l4_128_bs24_step200k	500	0	0	0.00000	0.00000	0.00762	0.00381	0.00864	0.00485	0.01324	0.12099	0.10095	0.14832	nan	nan	nan	nan	nan	nan
128	repa_l4_128_bs24_step400k	500	200	100	0.50000	0.43136	0.56864	0.06864	0.02088	0.01468	0.02806	0.15480	0.13056	0.18334	0.08624	0.05956	0.11752	0.43579	0.38194	0.51945
128	repa_l4_128_bs24_step400k	500	0	0	0.00000	0.00000	0.00762	0.00381	0.02646	0.01944	0.03461	0.15655	0.13450	0.18788	nan	nan	nan	nan	nan	nan
128	repa_l4_128_bs80_lambda2_steplast	500	200	102	0.51000	0.44118	0.57844	0.06863	0.00178	0.00099	0.00360	0.13479	0.11259	0.16446	0.01033	0.00695	0.01978	0.31297	0.25487	0.40517
128	repa_l4_128_bs80_lr3x_steplast	500	200	103	0.51500	0.44611	0.58333	0.06861	0.00512	0.00305	0.00858	0.22360	0.19659	0.25942	0.00809	0.00482	0.02016	0.39941	0.35427	0.47631
128	repa_l4_128_bs80_lr3x_steplast	500	0	0	0.00000	0.00000	0.00762	0.00381	0.00331	0.00143	0.00646	0.18970	0.16326	0.22321	nan	nan	nan	nan	nan	nan
128	repa_l4_128_bs80_step200k	500	200	169	0.84500	0.78839	0.88860	0.05011	0.01157	0.00800	0.01676	0.24758	0.21976	0.28301	0.01432	0.00790	0.02553	0.30262	0.25390	0.37514
128	repa_l4_128_bs80_step200k	525	200	165	0.82500	0.76635	0.87140	0.05252	0.01260	0.00900	0.01746	0.25000	0.22261	0.28376	0.01769	0.01016	0.03030	0.32770	0.27492	0.40191
128	repa_l4_128_bs80_wd1e2_step200k	500	200	171	0.85500	0.79951	0.89711	0.04880	0.00708	0.00470	0.01077	0.23652	0.21432	0.26822	0.01256	0.00628	0.02339	0.30575	0.27897	0.35049
128	repa_l4_128_per_residue_step400k	500	200	148	0.74000	0.67509	0.79586	0.06039	0.03382	0.02682	0.04216	0.20092	0.17678	0.23555	0.04618	0.03190	0.06302	0.30254	0.25707	0.36642
128	repa_l4_128_pw_structure_step100k	500	200	49	0.24500	0.19057	0.30904	0.05924	0.00006	0.00001	0.00110	0.12369	0.10438	0.15125	0.00665	0.00263	0.03050	0.44615	0.42117	0.49791
128	repa_l4_128_pw_structure_step100k	500	0	0	0.00000	0.00000	0.00762	0.00381	0.00100	0.00010	0.00334	0.12088	0.10111	0.14593	nan	nan	nan	nan	nan	nan
128	repa_l4_128_pw_torsional_step100k	500	200	84	0.42000	0.35373	0.48928	0.06777	0.00287	0.00220	0.00450	0.20869	0.18338	0.24227	0.00883	0.00177	0.02444	0.32072	0.26494	0.41703
128	repa_l4_128_random_step200k	500	200	140	0.70000	0.63321	0.75925	0.06302	0.01821	0.01405	0.02318	0.25613	0.23085	0.28991	0.03419	0.02169	0.05048	0.34562	0.29831	0.41969
128	repa_l4_128_random_step200k	500	15	9	0.60000	0.35746	0.80176	0.22215	0.01821	0.01402	0.02325	0.25613	0.23137	0.28937	0.09130	0.02947	0.22153	0.49537	0.43882	0.74343
128	repa_l9_128_bs80_step200k	500	200	133	0.66500	0.59702	0.72676	0.06487	0.00579	0.00454	0.00793	0.16479	0.14240	0.19459	0.00915	0.00692	0.01539	0.32253	0.27870	0.39699
128	repa_l9_128_bs80_steplast	500	200	11	0.05500	0.03099	0.09579	0.03240	0.00038	0.00002	0.00200	0.08541	0.06846	0.10785	0.22223	0.18709	0.25654	0.63744	0.55283	0.82071
128	repa_l9_128_per_residue_step400k	500	200	78	0.39000	0.32508	0.45906	0.06699	0.01674	0.01180	0.02276	0.07140	0.05729	0.09533	0.03607	0.01711	0.06364	0.22806	0.17301	0.33960
128	repa_mpnn_l4_128_bs80_step200k	500	200	177	0.88500	0.83335	0.92214	0.04439	0.00824	0.00720	0.01002	0.27822	0.25557	0.30872	0.00863	0.00704	0.01229	0.30542	0.27050	0.35499
128	repa_mpnn_l4_128_bs80_step200k	500	53	41	0.77358	0.64473	0.86546	0.11036	0.00824	0.00718	0.00995	0.27822	0.25405	0.31026	0.07769	0.04021	0.12848	0.46739	0.39030	0.62868
256	baseline_256_ep21	1125	250	31	0.12400	0.08875	0.17063	0.04094	0.02259	0.01979	0.02581	0.31255	0.29475	0.33620	0.22955	0.21211	0.24685	0.77755	0.74550	0.83763
256	baseline_256_ep21	1400	200	10	0.05000	0.02738	0.08958	0.03110	0.03617	0.03212	0.04030	0.32192	0.30388	0.34252	0.13026	0.07528	0.20801	0.59434	0.52312	0.76107
256	baseline_256_ep21_des	100	0	0	0.00000	0.00000	0.03699	0.01850	0.03882	0.02188	0.06216	0.32319	0.28123	0.40374	nan	nan	nan	nan	nan	nan
256	baseline_afdb_256_ep20	1125	250	164	0.65600	0.59515	0.71213	0.05849	0.02995	0.02737	0.03261	0.34992	0.33048	0.37480	0.04558	0.03800	0.05500	0.43084	0.38844	0.48874
256	pretrained_dfs_60m_n256_paper	1125	250	230	0.92000	0.87967	0.94762	0.03397	0.10909	0.10133	0.11656	0.41765	0.39438	0.44403	0.11294	0.09713	0.12923	0.43696	0.39416	0.49965
256	repa_esm_l9_t30_256_steplast	1125	250	42	0.16800	0.12676	0.21929	0.04627	0.07040	0.06590	0.07553	0.38181	0.36146	0.40484	0.16323	0.13145	0.19757	0.70901	0.69683	0.73665
256	repa_l0_256_ep26	1125	250	21	0.08400	0.05560	0.12500	0.03470	0.01614	0.01342	0.01908	0.14521	0.13053	0.16480	0.04167	0.01415	0.09792	0.43919	0.36385	0.62572
256	repa_l0_256_per_sample_steplast	1125	250	57	0.22800	0.18034	0.28389	0.05178	0.02744	0.02397	0.03156	0.21570	0.19863	0.23592	0.05400	0.02558	0.09062	0.44515	0.37899	0.56207
