n	run	N_gen	N_des	ss_jsd_pdb_3bin	ss_jsd_pdb_2d	ss_jsd_afdb_3bin	ss_jsd_afdb_2d	ss_jsd_pdb_des_3bin	ss_jsd_pdb_des_2d	ss_jsd_afdb_des_3bin	ss_jsd_afdb_des_2d
128	baseline_128_bs24_step200k	500	10	0.00656	0.14762	0.00788	0.14749	0.17009	0.71840	0.12883	0.65194
128	baseline_128_bs24_step400k	500	59	0.01155	0.13089	0.00478	0.10540	0.09841	0.48506	0.06707	0.44392
128	baseline_128_bs24_step400k	500	52	0.01155	0.13089	0.00478	0.10540	0.07924	0.45746	0.05172	0.42319
128	baseline_128_bs80_lr3x_step200k	500	85	0.02706	0.41671	0.01723	0.43949	0.18379	0.73627	0.14091	0.70624
128	baseline_128_bs80_lr3x_step200k	500	0	0.02869	0.43493	0.01857	0.45182	nan	nan	nan	nan
128	baseline_128_bs80_step200k	500	0	0.00580	0.21010	0.00517	0.22825	nan	nan	nan	nan
128	baseline_128_bs80_step200k	550	149	0.00788	0.23700	0.01229	0.26201	0.00658	0.30262	0.01072	0.34075
128	pretrained_dfs_60m_n128_paper	500	191	0.09903	0.39548	0.06741	0.29970	0.10274	0.41120	0.07052	0.31467
128	repa_esm_l4_128_step200k	500	113	0.02402	0.20705	0.00994	0.18359	0.04856	0.38939	0.02775	0.38236
128	repa_esm_l4_128_step200k	500	40	0.02402	0.20705	0.00994	0.18359	0.15910	0.54869	0.11903	0.45717
128	repa_l0_128_bs80_step200k	500	85	0.00290	0.08198	0.00144	0.10344	0.02682	0.29514	0.01265	0.28974
128	repa_l0_128_bs80_steplast	500	2	0.00037	0.02966	0.00569	0.05891	0.15521	0.73270	0.11982	0.69917
128	repa_l0_128_bs80_steplast	500	0	0.00037	0.02966	0.00569	0.05891	nan	nan	nan	nan
128	repa_l0_128_per_residue_step400k	500	118	0.00587	0.21242	0.01516	0.26060	0.00822	0.30122	0.01783	0.37128
128	repa_l4_128_bs24_step200k	500	82	0.00486	0.10892	0.00079	0.10678	0.02975	0.46019	0.01383	0.49011
