run,layer,target,cos_sim_mean,cos_sim_std,n,cos_sim_min,cos_sim_max
PDB_L9_GN,9,100000,0.75745,0.01663,20000,0.6762,0.8087
PDB_L9_GN,9,200000,0.784,0.01623,20000,0.7034,0.8361
PDB_L9_GN,9,300000,0.79625,0.01614,20000,0.7251,0.8446
PDB_L9_GN,9,400000,0.80425,0.01612,20000,0.7324,0.8636
PDB_L9_GN,9,500000,0.80979,0.01588,20000,0.7354,0.8624
PDB_L9_GN,9,600000,0.81551,0.01583,20000,0.7382,0.8659
PDB_L9_GN,9,700000,0.81983,0.01605,20000,0.7464,0.8753
PDB_L9_GN,9,800000,0.82322,0.01604,20000,0.7486,0.8718
PDB_L9_GN,9,900000,0.82561,0.01585,20000,0.7513,0.8759
PDB_L9_GN,9,1000000,0.82761,0.01575,20000,0.7477,0.8804
PDB_L9_GN,9,1100000,0.82923,0.01595,20000,0.7526,0.8826
PDB_L9_GN,9,1200000,0.8307,0.01571,20000,0.7456,0.8889
AFDB_L4_GN,4,100000,0.85356,0.01355,20000,0.7878,0.9002
AFDB_L4_GN,4,200000,0.86561,0.0134,20000,0.7967,0.9087
AFDB_L4_GN,4,300000,0.87062,0.01361,20000,0.8128,0.911
AFDB_L4_GN,4,400000,0.87359,0.01353,20000,0.7761,0.918
AFDB_L4_GN,4,500000,0.87553,0.01358,20000,0.8078,0.9151
AFDB_L4_GN,4,600000,0.87726,0.016,20000,0.795,0.9201
AFDB_L4_GN,4,700000,0.87827,0.01609,20000,0.7983,0.9257
AFDB_L4_GN,4,800000,0.87942,0.01595,20000,0.7979,0.9251
AFDB_L4_GN,4,900000,0.88,0.01594,20000,0.7817,0.9237
AFDB_L4_GN,4,1000000,0.88071,0.01602,20000,0.7975,0.9241
AFDB_L4_GN,4,1100000,0.88146,0.01584,20000,0.8068,0.9287
AFDB_L4_GN,4,1200000,0.88192,0.01561,20000,0.8077,0.9224
AFDB_L9_GN,9,100000,0.86357,0.01589,20000,0.7811,0.9079
AFDB_L9_GN,9,200000,0.87603,0.01562,20000,0.7632,0.9226
AFDB_L9_GN,9,300000,0.88135,0.01549,20000,0.7879,0.9271
AFDB_L9_GN,9,400000,0.88438,0.01539,20000,0.7892,0.9302
AFDB_L9_GN,9,500000,0.88619,0.01533,20000,0.8026,0.9311
AFDB_L9_GN,9,600000,0.8879,0.01521,20000,0.8023,0.9347
AFDB_L9_GN,9,700000,0.88925,0.01516,20000,0.8052,0.9303
AFDB_L9_GN,9,800000,0.89007,0.01521,20000,0.8053,0.9309
AFDB_L9_GN,9,900000,0.89081,0.01506,20000,0.8175,0.9336
AFDB_L9_GN,9,1000000,0.89143,0.01505,16804,0.8184,0.935
AFDB_MPNN_L9,9,100000,0.88741,0.00536,20000,0.8644,0.9079
AFDB_MPNN_L9,9,200000,0.89538,0.00571,20000,0.8701,0.919
AFDB_MPNN_L9,9,300000,0.89973,0.00595,20000,0.8779,0.9217
AFDB_MPNN_L9,9,400000,0.90253,0.00611,20000,0.8785,0.924
AFDB_MPNN_L9,9,500000,0.90435,0.00762,20000,0.8696,0.9298
AFDB_MPNN_L9,9,600000,0.90571,0.00765,20000,0.8747,0.9307
AFDB_MPNN_L9,9,700000,0.90683,0.00768,20000,0.8735,0.9344
AFDB_MPNN_L9,9,800000,0.90763,0.0077,20000,0.8733,0.932
AFDB_MPNN_L9,9,900000,0.90851,0.00777,20000,0.8764,0.9338
AFDB_MPNN_L9,9,1000000,0.90896,0.00779,20000,0.8781,0.9371
AFDB_MPNN_L9,9,1100000,0.90966,0.00783,20000,0.8773,0.9385
AFDB_MPNN_L9,9,1200000,0.91023,0.00788,20000,0.8759,0.9368
