dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
PDB,0,cath_C_top1,_res_PDB_FID,23,-0.4876393433007872,0.018258186272865615,-0.42259260171993773,0.0445473270774424,-0.43608965393032595,0.03750514970683929
PDB,0,cath_C_top1,_res_AFDB_FID,23,-0.47521426313104737,0.0219278253634854,-0.4176384094371718,0.0473767671763226,-0.4322115670711371,0.039431903110882675
PDB,0,cath_C_top1,_res_designability_rate,23,0.14868751042139652,0.4983467576185108,0.006200403690572655,0.9775999709748289,-0.006112485575187917,0.9779175146553974
PDB,0,cath_A_top1,_res_PDB_FID,23,-0.3778381874186809,0.07547560395191515,-0.32954019483490976,0.12465018607984957,-0.34903169128977085,0.10260414850442516
PDB,0,cath_A_top1,_res_AFDB_FID,23,-0.35771193268688534,0.09377055926621301,-0.32508694895876233,0.13013339768822732,-0.34593974581557885,0.10589420328060173
PDB,0,cath_A_top1,_res_designability_rate,23,0.15641219500760858,0.4760315159316256,-0.06688134958720486,0.7617343629753018,-0.08792869966295726,0.6899306049497381
PDB,0,cath_T_top1,_res_PDB_FID,23,-0.3352816943074442,0.11782960657703469,-0.25265767146546214,0.24477963242723016,-0.28042375269359227,0.19495597002557108
PDB,0,cath_T_top1,_res_AFDB_FID,23,-0.31590233350096575,0.14198572309808236,-0.2531521091787018,0.2438262084496917,-0.2828033531895644,0.1910342090114819
PDB,0,cath_T_top1,_res_designability_rate,23,0.12158996875413468,0.5804937692811154,-0.06856436483731608,0.7559132958036445,-0.09981076029463166,0.65046525222126
PDB,0,if_top1_acc,_res_PDB_FID,23,-0.6125806889241059,0.001887865648670959,-0.6225296442687748,0.0015122486285884704,-0.6516944401135645,0.0007545026620776841
PDB,0,if_top1_acc,_res_AFDB_FID,23,-0.5831900539152103,0.003491078730161159,-0.6274703557312253,0.001350734214060001,-0.658710068177689,0.0006314064846708426
PDB,0,if_top1_acc,_res_designability_rate,23,0.28794492662994964,0.18274503483685897,0.13752174751048424,0.5314882904996414,0.116914528396593,0.5952373740122991
PDB,0,dih_mae_total_deg,_res_PDB_FID,23,0.616843473394872,0.0017182237523890342,0.47035573122529645,0.023515036871998973,0.4592881348976712,0.027476198434155122
PDB,0,dih_mae_total_deg,_res_AFDB_FID,23,0.6174062103127055,0.001696829576324116,0.4683794466403162,0.024186493084323298,0.45493524854043976,0.029172953711286767
PDB,0,dih_mae_total_deg,_res_designability_rate,23,-0.27946736428340885,0.19654746707776655,-0.28691587610101027,0.1843839382868159,-0.3559793487364457,0.09548693081025708
PDB,200000,cath_C_top1,_res_PDB_FID,19,-0.6671847482610843,0.001805136080783302,-0.523121677302972,0.021544029474798245,-0.5003026195191795,0.02914480122373416
PDB,200000,cath_C_top1,_res_AFDB_FID,19,-0.6578984616928408,0.002200003918404128,-0.5275250584250509,0.02027697627372397,-0.502272120659311,0.02841618479927129
PDB,200000,cath_C_top1,_res_designability_rate,19,-0.2517418762840766,0.2984855935735195,-0.3627543162784738,0.1269088608992921,-0.5325926854983902,0.01889257281305026
PDB,200000,cath_A_top1,_res_PDB_FID,19,-0.5722420559960726,0.010458997205793906,-0.4916463903548176,0.03252173772696276,-0.4781322140736362,0.03839291319753389
PDB,200000,cath_A_top1,_res_AFDB_FID,19,-0.554014724128413,0.013845744083721556,-0.49252590089212495,0.03216536611143423,-0.47824651091847686,0.03834005184529835
PDB,200000,cath_A_top1,_res_designability_rate,19,-0.2569766650973081,0.2882097704564896,-0.4107536758546745,0.08064771883322921,-0.5193511029665563,0.022677977634192967
PDB,200000,cath_T_top1,_res_PDB_FID,19,-0.5114316620614989,0.025212706053865278,-0.41088690111660126,0.08053975850450772,-0.4023752402836864,0.08765386705473968
PDB,200000,cath_T_top1,_res_AFDB_FID,19,-0.49353126652872387,0.031761726605438086,-0.4196665357558447,0.07365736861495231,-0.4111647605798768,0.08031493545533915
PDB,200000,cath_T_top1,_res_designability_rate,19,-0.2789926922357851,0.24739873670619994,-0.4346682184514662,0.06292159309391822,-0.5195855894930079,0.022606115201615158
PDB,200000,if_top1_acc,_res_PDB_FID,19,-0.7566891203700477,0.00017697952331517251,-0.7280701754385965,0.0004091009120770056,-0.7219081771809813,0.0004835424615500975
PDB,200000,if_top1_acc,_res_AFDB_FID,19,-0.7342175564203661,0.00034473189087121727,-0.7508771929824561,0.00021166486305839485,-0.7454843083252375,0.00024885651743230316
PDB,200000,if_top1_acc,_res_designability_rate,19,-0.05778139540108414,0.814239625706613,-0.13538494236228923,0.5805229852349031,-0.21120967265276921,0.38539824810442175
PDB,200000,dih_mae_total_deg,_res_PDB_FID,19,0.6941156535197741,0.0009774856566262778,0.5649122807017544,0.011729723562510142,0.5631574382293327,0.012051654194698372
PDB,200000,dih_mae_total_deg,_res_AFDB_FID,19,0.696002756926102,0.0009341244803689207,0.5789473684210525,0.009396104149244383,0.5718113487152029,0.01053045318198746
PDB,200000,dih_mae_total_deg,_res_designability_rate,19,-0.2127720591716748,0.3818106878148522,-0.2663742697128158,0.27031361618289845,-0.05665275441683186,0.8178095258583504
AFDB,0,cath_C_top1,_res_PDB_FID,16,0.36971868633996713,0.15870381614754872,0.3333784015066003,0.20701330259399348,0.1338179474549791,0.6212469543861524
AFDB,0,cath_C_top1,_res_AFDB_FID,16,0.3013046690459226,0.25676933806615115,0.26311479222045586,0.3248301380321198,0.1162965907900895,0.667987275198236
AFDB,0,cath_C_top1,_res_designability_rate,16,0.22869641410124542,0.3942387423275682,0.21244206313960137,0.4295762012639931,0.5665180075951202,0.022137406187543982
AFDB,0,cath_A_top1,_res_PDB_FID,16,0.5782280954003882,0.01896264606309852,0.6308047839636048,0.008791770049568187,0.5522206280410282,0.026551927713819555
AFDB,0,cath_A_top1,_res_AFDB_FID,16,0.5647298568122476,0.022656186325139088,0.5998540819466991,0.014036553036800951,0.5528519815520402,0.02634380196443201
AFDB,0,cath_A_top1,_res_designability_rate,16,0.40220041128088624,0.12249773815702093,0.47271437848025555,0.06444161729451067,0.7691151390543962,0.0004965543537010094
AFDB,0,cath_T_top1,_res_PDB_FID,16,0.566518954195313,0.022137134006032896,0.6602816430273248,0.005372331485991408,0.586657782627106,0.016904734488880455
AFDB,0,cath_T_top1,_res_AFDB_FID,16,0.5497567659120681,0.02737620546159554,0.611644825572187,0.011809524792784609,0.5686138019799908,0.021541080178912566
AFDB,0,cath_T_top1,_res_designability_rate,16,0.32259768572810466,0.22298443722875388,0.37684406771202894,0.15021075595788605,0.6797529828857027,0.0037691221554787798
AFDB,0,if_top1_acc,_res_PDB_FID,16,0.8423069712677946,4.2396127164962166e-05,0.911764705882353,8.818985741384042e-07,0.9089742309985314,1.0883611916215964e-06
AFDB,0,if_top1_acc,_res_AFDB_FID,16,0.8801201495584202,6.910369791135874e-06,0.9029411764705882,1.677724370594156e-06,0.8952703557186106,2.798012979436676e-06
AFDB,0,if_top1_acc,_res_designability_rate,16,0.48114809580028983,0.059183531688140056,0.4576896014658398,0.07464389856838684,0.5959811612973797,0.01483552891964607
AFDB,0,dih_mae_total_deg,_res_PDB_FID,16,-0.8209050266637681,9.728983002921032e-05,-0.9352941176470588,1.0720167152998667e-07,-0.9243370758487598,3.111170740565295e-07
AFDB,0,dih_mae_total_deg,_res_AFDB_FID,16,-0.8375589755256928,5.149045011608054e-05,-0.9088235294117648,1.1005852200187752e-06,-0.9079647145774707,1.172488004577905e-06
AFDB,0,dih_mae_total_deg,_res_designability_rate,16,-0.3403523341914526,0.19708505140507826,-0.2016188919640516,0.4539792236839837,-0.392712870997788,0.13241494152995686
AFDB,200000,cath_C_top1,_res_PDB_FID,12,0.2292989828883041,0.47344301742128836,0.11623690156143267,0.7190391240067666,-0.04736260478512303,0.8837915017118011
