run,layer,if_top1_acc
repa_l4_128_bs80_lambda2_steplast,3,0.19184061884880066
repa_mpnn_l4_128_bs80_step200k,4,0.18464848399162292
repa_l4_128_per_residue_step400k,3,0.18070125579833984
repa_l9_128_per_residue_step400k,3,0.17813199758529663
repa_l9_128_bs80_steplast,4,0.17739412188529968
repa_l4_128_bs80_step200k,4,0.17640730738639832
repa_l9_128_bs80_step200k,4,0.1746203899383545
repa_l4_128_bs80_lambda1_step200k,4,0.17131325602531433
repa_l4_128_bs80_wd1e2_step200k,3,0.17064648866653442
repa_l4_128_bs24_step400k,3,0.17005974054336548
repa_l4_128_bs24_step200k,3,0.1620674878358841
repa_l4_128_bs80_lambda025_step200k,3,0.16183635592460632
repa_l0_128_bs80_step200k,2,0.1575424075126648
repa_l0_128_bs80_steplast,2,0.1563066691160202
repa_l4_128_random_step200k,3,0.1549464762210846
repa_l4_128_pw_structure_step100k,4,0.15288396179676056
repa_l4_128_pw_torsional_step100k,3,0.15191493928432465
repa_mpnn_l4_afdb_128_bs80_step600k,4,0.14962127804756165
repa_mpnn_l4_afdb_128_bs80_step1000k,5,0.14958572387695312
pretrained_dfs_60m,7,0.1493101269006729
repa_mpnn_l4_afdb_128_bs80_step400k,4,0.14930123090744019
repa_mpnn_l4_afdb_128_bs80_step800k,4,0.14826998114585876
repa_l4_128_bs80_lr3x_steplast,3,0.14306923747062683
repa_mpnn_l4_afdb_128_bs80_step200k,8,0.14193129539489746
baseline_afdb_128_bs80_step400k,6,0.13133423030376434
repa_l4_afdb_128_bs80_step600k,6,0.13012517988681793
baseline_afdb_128_bs80_step1000k,5,0.12988513708114624
repa_l4_afdb_128_bs80_step200k,8,0.12943173944950104
baseline_afdb_128_bs80_step800k,5,0.1294228583574295
baseline_128_bs80_step200k,2,0.12911169230937958
baseline_afdb_128_bs80_step600k,9,0.12906724214553833
repa_l0_128_per_residue_step400k,3,0.12823157012462616
baseline_afdb_128_bs80_step1200k,6,0.12549340724945068
baseline_128_bs24_step400k,1,0.12423989176750183
baseline_afdb_128_bs80_step200k,9,0.12356424331665039
baseline_128_bs24_step200k,1,0.09746275097131729
baseline_128_bs80_lr3x_step200k,7,0.09291987866163254
