,layer,layer,layer,cath_accuracy,cath_accuracy,cath_accuracy,cath_macro_f1,cath_macro_f1,cath_macro_f1
cath_level,A,C,T,A,C,T,A,C,T
run,,,,,,,,,
baseline_128_bs24_step200k,1.0,1.0,0.0,0.31929046563192903,0.5853658536585366,0.2740740740740741,0.16664831920814632,0.491809457393898,0.1681298985634936
baseline_128_bs24_step400k,1.0,2.0,2.0,0.6075388026607539,0.8248337028824834,0.454320987654321,0.39496043400402775,0.6593660969077436,0.2807409460451779
baseline_128_bs80_lr3x_step200k,7.0,6.0,7.0,0.29933481152993346,0.4678492239467849,0.24691358024691357,0.15793670292481782,0.4208335762340374,0.15687665806473153
baseline_128_bs80_step200k,1.0,0.0,1.0,0.6008869179600886,0.844789356984479,0.4666666666666667,0.33532214174769837,0.6548458483596965,0.30306887828864515
pretrained_dfs_60m,6.0,8.0,6.0,0.6740576496674058,0.8558758314855875,0.5506172839506173,0.4120088886000175,0.7001344475422526,0.3657288628417838
repa_esm_l4_128_step200k,5.0,1.0,4.0,0.7161862527716186,0.8802660753880266,0.7160493827160493,0.473622689557683,0.7365818076085547,0.5336837141615565
repa_l0_128_bs80_step200k,1.0,7.0,1.0,0.7228381374722838,0.8736141906873615,0.6938271604938272,0.5904211053982245,0.7287530384352671,0.5703914908434843
repa_l0_128_bs80_steplast,0.0,2.0,1.0,0.7028824833702882,0.8736141906873615,0.6962962962962963,0.6245774062935422,0.7359466193050606,0.5550785587231102
repa_l0_128_per_residue_step400k,1.0,1.0,0.0,0.6541019955654102,0.844789356984479,0.6049382716049383,0.41275239653337453,0.7033911755120648,0.43290169138387913
repa_l4_128_bs24_step200k,4.0,4.0,8.0,0.7960088691796009,0.9068736141906873,0.7950617283950617,0.7216379277142551,0.7982735634592679,0.6902955324869011
repa_l4_128_bs24_step400k,9.0,4.0,4.0,0.8337028824833703,0.926829268292683,0.8222222222222222,0.7390905577900757,0.8231153784328183,0.7044820744033834
repa_l4_128_bs80_lambda2_steplast,8.0,5.0,7.0,0.8780487804878049,0.9356984478935698,0.854320987654321,0.8045337152290348,0.8318823941574367,0.8028027240342889
repa_l4_128_bs80_lr3x_steplast,8.0,8.0,5.0,0.7760532150776053,0.893569844789357,0.7580246913580246,0.643605802784412,0.7898676849097607,0.5943044946593837
repa_l4_128_bs80_step200k,8.0,3.0,4.0,0.8048780487804879,0.9090909090909091,0.817283950617284,0.6222601859391077,0.7888990782763299,0.7062737878623933
repa_l4_128_bs80_wd1e2_step200k,5.0,3.0,7.0,0.8093126385809313,0.9157427937915743,0.8074074074074075,0.7014823295749011,0.8224038824168127,0.7327634316814648
repa_l4_128_per_residue_step400k,8.0,3.0,8.0,0.835920177383592,0.9334811529933481,0.8222222222222222,0.6825339678526576,0.8222047284064116,0.6737252773416014
repa_l4_128_pw_structure_step100k,4.0,6.0,6.0,0.6518847006651884,0.8758314855875832,0.582716049382716,0.4778832955859745,0.7206721756706437,0.41764274576953186
repa_l4_128_pw_torsional_step100k,3.0,2.0,4.0,0.6829268292682927,0.8625277161862528,0.6246913580246913,0.44677969665688927,0.6638566221545267,0.44370067068643904
repa_l4_128_random_step200k,2.0,4.0,3.0,0.6807095343680709,0.8713968957871396,0.6370370370370371,0.45308710480336667,0.7208439734390304,0.47126009163719335
repa_l9_128_bs80_step200k,9.0,6.0,6.0,0.8093126385809313,0.9090909090909091,0.8,0.7485865721175005,0.8108182953126774,0.7124699929579935
repa_l9_128_bs80_steplast,6.0,6.0,7.0,0.8270509977827051,0.9223946784922394,0.8049382716049382,0.7227734421301739,0.8226738249724503,0.7164677464771912
repa_l9_128_per_residue_step400k,7.0,9.0,3.0,0.8093126385809313,0.9201773835920177,0.8074074074074075,0.7287297344520409,0.8228856793119063,0.6635536246204536
repa_mpnn_l4_128_bs80_step200k,6.0,8.0,5.0,0.7427937915742794,0.8891352549889135,0.6962962962962963,0.5137506918690836,0.7284835055093377,0.528501086977639
