run,layer,probe_kind,if_top1_acc,if_macro_f1,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long
local_frame,-201,dihedral,,,16.835247039794922,14.524181365966797,15.67971420288086,,,,
random_gauss,-2,dihedral,,,33.252159118652344,83.40874481201172,58.33045196533203,,,,
seq_onehot,-3,dihedral,,,31.60903549194336,75.24889373779297,53.428964614868164,,,,
trained_noise,-29,dihedral,,,36.680511474609375,81.62418365478516,59.152347564697266,,,,
trained_noise,-28,dihedral,,,34.404598236083984,79.22984313964844,56.81722068786621,,,,
trained_noise,-27,dihedral,,,34.09020233154297,77.76420593261719,55.92720413208008,,,,
trained_noise,-26,dihedral,,,33.78962326049805,77.24459075927734,55.517107009887695,,,,
trained_noise,-25,dihedral,,,33.89152145385742,77.21887969970703,55.55520057678223,,,,
trained_noise,-24,dihedral,,,33.61140060424805,76.52902221679688,55.07021141052246,,,,
trained_noise,-23,dihedral,,,33.44499206542969,76.4879150390625,54.966453552246094,,,,
trained_noise,-22,dihedral,,,32.682228088378906,75.72740173339844,54.20481491088867,,,,
trained_noise,-21,dihedral,,,32.59233093261719,76.6246337890625,54.608482360839844,,,,
trained_noise,-20,dihedral,,,32.798641204833984,76.76761627197266,54.78312873840332,,,,
untrained_proteina,-19,dihedral,,,33.10285949707031,82.04856872558594,57.575714111328125,,,,
untrained_proteina,-18,dihedral,,,33.10333251953125,81.89588928222656,57.499610900878906,,,,
untrained_proteina,-17,dihedral,,,33.09517288208008,81.86970520019531,57.482439041137695,,,,
untrained_proteina,-16,dihedral,,,33.10505676269531,81.84629821777344,57.475677490234375,,,,
untrained_proteina,-15,dihedral,,,33.103031158447266,81.97115325927734,57.537092208862305,,,,
untrained_proteina,-14,dihedral,,,32.95103073120117,81.36614227294922,57.158586502075195,,,,
untrained_proteina,-13,dihedral,,,32.956844329833984,81.39966583251953,57.17825508117676,,,,
untrained_proteina,-12,dihedral,,,32.95329666137695,81.3805160522461,57.16690635681152,,,,
untrained_proteina,-11,dihedral,,,32.94599914550781,81.36247253417969,57.15423583984375,,,,
untrained_proteina,-10,dihedral,,,32.9344596862793,81.3624038696289,57.1484317779541,,,,
random_gauss,-2,distance,,,,,,9.090686706697648,7.61989629270882,6.415660288510931,10.766039629248539
seq_onehot,-3,distance,,,,,,9.293705287578415,6.976066357484495,6.594173658815366,11.12621341128712
seqsep_pair,-202,distance,,,,,,8.694439270631182,3.0381069150743096,7.400580636095895,10.346209864459567
trained_noise,-29,distance,,,,,,8.24063248684417,2.6606170885771996,7.073335675508547,9.811992925910353
trained_noise,-28,distance,,,,,,7.96736264664512,2.8368168576236106,6.491057610267218,9.626860702878183
trained_noise,-27,distance,,,,,,7.9450326456059495,2.8832793465600366,6.422714948127132,9.617337505819417
trained_noise,-26,distance,,,,,,7.934968673074236,3.046032813884741,6.3179997189404205,9.628290887577977
trained_noise,-25,distance,,,,,,7.942165061580603,2.990138264769149,6.359582379823657,9.62790408392458
trained_noise,-24,distance,,,,,,7.959010226155606,3.6025535056942113,6.063771435196074,9.709969654971687
trained_noise,-23,distance,,,,,,7.9587848512670485,3.616018708927,6.039130068925945,9.72042195106837
trained_noise,-22,distance,,,,,,7.902984612510212,3.014867724913044,6.231858172592717,9.625019096538535
trained_noise,-21,distance,,,,,,7.84383569504851,2.9601293034829057,6.123410110077864,9.591383100442489
trained_noise,-20,distance,,,,,,7.627346316025445,2.4676442407122687,5.90531607240804,9.422712220052233
untrained_proteina,-19,distance,,,,,,0.9539373592372956,0.9041680987433532,0.9020681057987926,0.9900387385110558
untrained_proteina,-18,distance,,,,,,1.8936482568133322,1.8553211812363537,1.800592436292207,1.9497441798725634
untrained_proteina,-17,distance,,,,,,2.0030664224175316,1.953760598726936,1.9074039859349379,2.062419135165338
untrained_proteina,-16,distance,,,,,,1.0528417252422566,0.7898422228938999,1.0720006107654179,1.0873873022249232
untrained_proteina,-15,distance,,,,,,1.31652426614033,1.2985360129395789,1.247831171997867,1.3561804251928489
untrained_proteina,-14,distance,,,,,,1.0584703990096136,0.9714366930809573,1.0686623475711907,1.0678505070338986
untrained_proteina,-13,distance,,,,,,1.4230945606508958,1.2989774040848585,1.2937363501977457,1.5131281697424026
untrained_proteina,-12,distance,,,,,,1.2865906420783433,1.176977255409683,1.1675960998225416,1.368635182348617
untrained_proteina,-11,distance,,,,,,0.8443884946342854,0.7239349232799677,0.7327693978781402,0.9243484459835949
untrained_proteina,-10,distance,,,,,,1.0187433993622022,0.948843595484548,0.9897778880814567,1.0460685662924807
knn_dist,-200,inverse_folding,0.09450232982635498,0.028655433231554665,,,,,,,
random_gauss,-2,inverse_folding,0.07977134734392166,0.03104154052980258,,,,,,,
seq_onehot,-3,inverse_folding,1.0,1.0,,,,,,,
trained_noise,-29,inverse_folding,0.08502542227506638,0.051921450626840795,,,,,,,
trained_noise,-28,inverse_folding,0.09200419485569,0.036513427872436374,,,,,,,
trained_noise,-27,inverse_folding,0.09359553456306458,0.035091128780497804,,,,,,,
trained_noise,-26,inverse_folding,0.09436897933483124,0.046918038377941076,,,,,,,
trained_noise,-25,inverse_folding,0.09402225911617279,0.046849980285855373,,,,,,,
trained_noise,-24,inverse_folding,0.0927598625421524,0.04435805951311222,,,,,,,
trained_noise,-23,inverse_folding,0.09391558170318604,0.047595516259719035,,,,,,,
trained_noise,-22,inverse_folding,0.0954446867108345,0.052127975756279546,,,,,,,
trained_noise,-21,inverse_folding,0.09527577459812164,0.05439868008798199,,,,,,,
trained_noise,-20,inverse_folding,0.09573806077241898,0.049273568377208934,,,,,,,
