run,layer,dist_mae_total
repa_l4_128_per_residue_step400k,0,0.8051410899313713
repa_l0_128_per_residue_step400k,0,0.8727725373198439
repa_l4_128_bs80_wd1e2_step200k,0,0.8778230493098556
baseline_128_bs80_step200k,3,0.9005904421207209
repa_l9_128_per_residue_step400k,1,0.9461219558520226
repa_mpnn_l4_128_bs80_step200k,1,0.9777689816660045
repa_l0_128_bs80_step200k,0,0.9830788817937753
repa_l4_128_bs24_step400k,2,0.9870813884047348
baseline_afdb_128_bs80_step200k,1,1.0065698910729144
repa_l4_afdb_128_bs80_step200k,1,1.031933232685628
repa_l4_128_bs80_lambda025_step200k,1,1.0427303289927456
repa_l0_128_bs80_steplast,1,1.0560935735791437
repa_l4_128_random_step200k,0,1.0570805243028685
repa_l4_128_pw_structure_step100k,2,1.0575099016363523
repa_l4_128_pw_torsional_step100k,2,1.0816140287033449
repa_l4_128_bs80_lambda2_steplast,1,1.1117554960914626
repa_l4_128_bs80_lambda1_step200k,2,1.1124229611252194
repa_l4_128_bs24_step200k,0,1.1152519724940386
repa_l4_128_bs80_step200k,0,1.1159515344990663
baseline_128_bs24_step200k,3,1.1245108445174348
baseline_128_bs80_lr3x_step200k,7,1.1277964058907832
repa_l9_128_bs80_steplast,1,1.1601110741808585
baseline_128_bs24_step400k,9,1.1633969701080638
repa_mpnn_l4_afdb_128_bs80_step200k,1,1.1995054385436896
repa_l9_128_bs80_step200k,1,1.2105170268349323
baseline_afdb_128_bs80_step400k,1,1.2427485888291143
repa_l4_128_bs80_lr3x_steplast,3,1.2462050235326874
repa_mpnn_l4_afdb_128_bs80_step400k,0,1.45350301846863
pretrained_dfs_60m,0,1.7963656199602027
