,layer,layer,layer,cath_accuracy,cath_accuracy,cath_accuracy,cath_macro_f1,cath_macro_f1,cath_macro_f1
cath_level,A,C,T,A,C,T,A,C,T
run,,,,,,,,,
baseline_256_ep21,2.0,2.0,2.0,0.5032822757111597,0.8346627991298042,0.3604452054794521,0.288084775366613,0.636668269043938,0.1913610511653177
baseline_afdb_256_ep20,6.0,9.0,4.0,0.5361050328227571,0.8498912255257433,0.3938356164383562,0.2974524890479235,0.663626840862025,0.1943622478173662
pretrained_dfs_60m,6.0,6.0,6.0,0.6105032822757112,0.8542422044960116,0.5,0.4218945847069086,0.6565565011624143,0.3008290263928327
repa_esm_l9_t30_256_steplast,4.0,6.0,3.0,0.6301969365426696,0.8810732414793329,0.5753424657534246,0.44008749582154105,0.7109139341438411,0.35543445398443185
repa_l0_256_ep26,0.0,1.0,0.0,0.6695842450765864,0.8781725888324873,0.6455479452054794,0.4653288930438961,0.6679625685948707,0.444907584148496
repa_l0_256_per_sample_steplast,0.0,3.0,0.0,0.6827133479212254,0.8817984046410442,0.6986301369863014,0.507065037427561,0.7005940430647272,0.5202971576035245
repa_l4_256_ep13_step300k,4.0,4.0,4.0,0.7855579868708972,0.9231327048585932,0.7945205479452054,0.6780471646404914,0.7593102461222037,0.589702108311266
repa_l4_256_ep22,4.0,4.0,4.0,0.8161925601750547,0.9245830311820159,0.8073630136986302,0.6960681864810304,0.7475211478421157,0.6227533864212785
repa_l4_256_ep31_step500k,8.0,9.0,7.0,0.8300510576221736,0.9383611312545322,0.8304794520547946,0.7144430174215771,0.7625180453208078,0.6763618473285102
repa_l4_256_per_residue_lambda1_step300k,5.0,5.0,7.0,0.8512035010940919,0.9405366207396664,0.839041095890411,0.7276467412230673,0.8220695192985087,0.6727094428431293
repa_l4_256_per_residue_lambda2_step200k,4.0,5.0,4.0,0.8584974471188913,0.9376359680928209,0.8433219178082192,0.7353967557632838,0.7965234714132976,0.6886968698199504
repa_l4_256_per_sample_step400k,4.0,7.0,6.0,0.8285922684172137,0.9245830311820159,0.8193493150684932,0.708067715919244,0.7843985401272975,0.6742782958301251
repa_l4_256_random_ep17,3.0,4.0,4.0,0.5893508388037928,0.8600435097897027,0.5085616438356164,0.3859049420092511,0.6833056488943554,0.2829437803160222
repa_l4_afdb_256_ep20,6.0,4.0,4.0,0.6659372720641867,0.8788977519941987,0.6121575342465754,0.49221774559867154,0.6667109628339962,0.4213535614028764
repa_l9_256_ep17,5.0,9.0,6.0,0.8205689277899344,0.9245830311820159,0.8039383561643836,0.7098453368488915,0.7592206156717872,0.6227189837101358
repa_l9_256_ep25,6.0,7.0,8.0,0.8468271334792122,0.939811457577955,0.833904109589041,0.7273046368378774,0.7945902421941826,0.668492799566155
repa_l9_256_per_sample_steplast,8.0,5.0,6.0,0.8023340627279358,0.9151559100797679,0.8073630136986302,0.6820412785703205,0.7517763983274401,0.6339618620546463
repa_mpnn_l4_256_per_residue_step300k,4.0,6.0,4.0,0.6695842450765864,0.8919506889050036,0.5933219178082192,0.4642793658823678,0.7031902978760557,0.37923319605830674
