run,layer,dist_mae_total
baseline_afdb_256_step700k,0,0.7115488908473613
repa_l4_256_per_residue_lambda1_step300k,0,0.8893497804200621
repa_mpnn_l9_afdb_256_step700k,0,0.8903844266863477
repa_mpnn_l9_afdb_256_step400k,2,0.8936637063318188
repa_l4_256_random_ep17,3,0.9166759499072503
baseline_afdb_256_step400k,2,0.956074049786657
repa_l4_afdb_256_step400k,0,0.9579967397751525
repa_mpnn_l4_256_per_residue_step300k,0,0.9875697961578571
repa_l0_256_ep26,0,1.009333843545011
repa_esm_l9_t30_256_steplast,1,1.011901230802872
repa_l0_256_per_sample_steplast,0,1.0126424384234856
repa_l4_256_per_residue_lambda2_step300k,0,1.0126731385573828
baseline_256_ep21,1,1.0179479173768222
baseline_afdb_256_ep20,1,1.0230548934922896
repa_l4_256_ep22,0,1.075193845127444
repa_l4_afdb_256_ep20,0,1.0777168268149968
repa_l4_256_ep13_step300k,2,1.0872049191997781
repa_mpnn_l4_afdb_256_step400k,0,1.0899087387117052
repa_l4_256_per_residue_lambda2_step200k,0,1.1328508067698644
repa_l9_256_per_sample_steplast,1,1.1487006472297945
repa_l4_256_per_residue_lambda1_step200k,2,1.1697037987512335
repa_l4_256_per_sample_step400k,1,1.1949713456288382
repa_l4_afdb_256_step700k,0,1.2027798448714941
pretrained_dfs_60m,1,1.203600008480649
baseline_afdb_256_step900k,0,1.3254510980265894
repa_l9_256_ep17,3,1.3335657743929925
repa_l9_256_ep25,1,1.3372110464581743
repa_l4_256_ep31_step500k,4,1.3395419944401243
