run,layer,dih_mae_total_deg
baseline_afdb_256_step400k,5,20.471603393554688
repa_mpnn_l4_256_per_residue_step300k,4,24.285818099975586
baseline_afdb_256_step700k,6,26.00658130645752
repa_l9_256_ep25,4,26.604165077209473
repa_l4_256_per_residue_lambda1_step300k,4,26.606555938720703
repa_l4_256_ep31_step500k,4,26.8542423248291
repa_mpnn_l9_afdb_256_step700k,7,26.88027858734131
repa_l4_256_per_residue_lambda2_step300k,4,27.077085494995117
repa_mpnn_l9_afdb_256_step400k,5,27.08647060394287
repa_l4_256_per_residue_lambda1_step200k,4,27.181652069091797
repa_l9_256_ep17,4,27.790254592895508
repa_l4_256_per_sample_step400k,4,28.009772300720215
repa_l4_256_ep22,4,28.227293014526367
pretrained_dfs_60m,5,28.548745155334473
repa_l9_256_per_sample_steplast,4,28.582963943481445
repa_l4_256_per_residue_lambda2_step200k,4,28.6554594039917
repa_l4_256_ep13_step300k,4,28.9153995513916
repa_esm_l9_t30_256_steplast,2,28.96041965484619
baseline_afdb_256_ep20,5,29.422651290893555
baseline_afdb_256_step900k,5,29.5570125579834
repa_l4_afdb_256_step700k,5,29.872323036193848
repa_l4_afdb_256_step400k,6,30.166961669921875
repa_l4_256_random_ep17,4,31.68071746826172
repa_l4_afdb_256_ep20,7,31.78911781311035
repa_mpnn_l4_afdb_256_step400k,2,31.85330104827881
repa_l0_256_ep26,2,33.055203437805176
repa_l0_256_per_sample_steplast,2,34.75017070770264
baseline_256_ep21,3,36.65263652801514
