run,layer,if_top1_acc
baseline_afdb_256_step400k,5,0.18029659986495972
repa_mpnn_l4_256_per_residue_step300k,4,0.16863077878952026
repa_l4_256_per_residue_lambda1_step300k,3,0.165571391582489
repa_l4_256_per_residue_lambda2_step300k,4,0.1647394448518753
repa_l4_256_per_residue_lambda1_step200k,3,0.1625099629163742
repa_mpnn_l4_afdb_256_step400k,6,0.16213291883468628
repa_l4_256_per_residue_lambda2_step200k,4,0.16162268817424774
repa_l4_256_ep31_step500k,4,0.15844854712486267
repa_l9_256_ep25,6,0.155852273106575
repa_l4_256_ep22,4,0.154829740524292
repa_mpnn_l9_afdb_256_step400k,9,0.15393631160259247
pretrained_dfs_60m,6,0.1533072292804718
repa_l4_256_per_sample_step400k,3,0.1532273143529892
baseline_afdb_256_step700k,6,0.15215151011943817
repa_mpnn_l9_afdb_256_step700k,7,0.1519588828086853
repa_l9_256_per_sample_steplast,5,0.1519138067960739
repa_l4_afdb_256_step700k,5,0.15010850131511688
repa_l4_256_ep13_step300k,4,0.14958186447620392
repa_l9_256_ep17,6,0.14819253981113434
baseline_afdb_256_step900k,5,0.14357376098632812
repa_l4_afdb_256_step400k,5,0.1421598494052887
repa_l4_256_random_ep17,2,0.13369889557361603
repa_l4_afdb_256_ep20,6,0.13278703391551971
repa_esm_l9_t30_256_steplast,4,0.13251449167728424
repa_l0_256_per_sample_steplast,3,0.129819855093956
baseline_afdb_256_ep20,6,0.12332405149936676
repa_l0_256_ep26,0,0.1206253170967102
baseline_256_ep21,2,0.11487334966659546
