run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
gearnet,0,-1,1.00,512,0.6021,0.6171,0.4069,0.5010,0.6171,39,T,1.0000,1.0000,9,v1,,
baseline_256,400000,0,1.00,512,0.8977,0.8906,0.6325,0.7921,0.8906,39,T,0.2000,0.2222,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,1,1.00,512,0.8710,0.8937,0.6490,0.8031,0.8937,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,2,1.00,512,0.8915,0.8958,0.6584,0.8068,0.8958,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,3,1.00,512,0.8912,0.9016,0.6701,0.8172,0.9016,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,4,1.00,512,0.8789,0.8992,0.6663,0.8133,0.8992,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,5,1.00,512,0.8833,0.8919,0.6518,0.7985,0.8919,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,6,1.00,512,0.8688,0.8812,0.6471,0.7937,0.8812,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,7,1.00,512,0.8584,0.8701,0.6277,0.7796,0.8701,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,8,1.00,512,0.8678,0.8804,0.6296,0.7898,0.8804,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,9,1.00,512,0.8568,0.8786,0.6382,0.7945,0.8786,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,0,0.75,512,0.5116,0.5018,0.3454,0.4168,0.5018,39,T,0.8000,0.7185,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,1,0.75,512,0.5735,0.5987,0.3900,0.4935,0.5987,39,T,0.8000,0.7185,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,2,0.75,512,0.5969,0.6361,0.4103,0.5168,0.6361,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,3,0.75,512,0.6046,0.6095,0.4028,0.5102,0.6095,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,4,0.75,512,0.5818,0.5946,0.3955,0.4952,0.5946,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,5,0.75,512,0.5849,0.5952,0.3951,0.4925,0.5952,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,6,0.75,512,0.5649,0.5579,0.3723,0.4622,0.5579,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,7,0.75,512,0.5572,0.5726,0.3872,0.4759,0.5726,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,8,0.75,512,0.5567,0.5638,0.3829,0.4709,0.5638,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,9,0.75,512,0.5615,0.5482,0.3701,0.4552,0.5482,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,0,0.50,512,0.1706,0.1641,0.1323,0.1444,0.1641,39,T,0.7000,0.6074,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,1,0.50,512,0.2066,0.2224,0.1614,0.1831,0.2224,39,T,0.8000,0.7185,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,2,0.50,512,0.2193,0.2513,0.1902,0.2086,0.2513,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,3,0.50,512,0.2431,0.2506,0.1848,0.2142,0.2506,39,T,0.7000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
