run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,cath,,1000,3190,,,,,C,0.6236403190717912,0.4059078299268622,0.77903191653354,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,cath,,1000,3190,,,,,A,0.30007390983000737,0.15501459987891714,0.6205484500411852,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,cath,,1000,3190,,,,,T,0.2198492462311558,0.08559320816500578,0.618049694189215,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,cath,,1000,3190,,,,,C,0.6715010877447426,0.42963184474301797,0.8472176674606361,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,cath,,1000,3190,,,,,A,0.35624538063562455,0.18815427407758317,0.6895815191351159,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,cath,,1000,3190,,,,,T,0.24748743718592964,0.09354061643270979,0.6583703350035451,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,cath,,1000,3190,,,,,C,0.7099347353154459,0.451072089372251,0.8977245085467818,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,cath,,1000,3190,,,,,A,0.37915742793791574,0.21687933900909506,0.7585276006319897,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,cath,,1000,3190,,,,,T,0.3391959798994975,0.1619938560394349,0.6826898476039417,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,3,1.0,cath,,1000,3190,,,,,C,0.7077592458303118,0.4628051798163334,0.9108498498379374,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
