run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.09385823458433151,0.060290769548103806,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,28.618839263916016,52.483482360839844,40.55116081237793,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10159316658973694,0.0689517153280002,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,28.51725196838379,46.050472259521484,37.28386211395264,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.12438236176967621,0.08528778490475913,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,30.733640670776367,35.161014556884766,32.947327613830566,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,3,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.11849457770586014,0.08687208000865664,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,3,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,38.17855453491211,42.05160140991211,40.11507797241211,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.11750172823667526,0.08412965877218301,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,41.453369140625,49.852237701416016,45.65280342102051,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
