run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,1000,3190,,,,,C,0.5134155184916607,0.3003276885629827,0.7116045457871281,5,450,1379,1379,0,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,1000,3190,,,,,A,0.25523952095808383,0.15209730250097114,0.626548999070266,17,441,1379,1336,43,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,1000,3190,,,,,T,0.2114914425427873,0.09851241841251675,0.6729331669990851,36,287,1379,818,561,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,inverse_folding,linear,1000,3190,,,,,,,,,,,,,,0.07952345162630081,0.035799260031367255,488007,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,dihedral,linear,1000,3190,,,,,,,,,,,,,,,,,41.39570617675781,87.12300872802734,64.25935745239258,488007,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,1000,3190,,,,,C,0.5765047135605511,0.35916901414510377,0.8163961267056645,5,450,1379,1379,0,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,1000,3190,,,,,A,0.30763473053892215,0.16577685279073504,0.7356148598767395,17,441,1379,1336,43,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,1000,3190,,,,,T,0.2310513447432763,0.10084345384646726,0.7051466827593276,36,287,1379,818,561,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,inverse_folding,linear,1000,3190,,,,,,,,,,,,,,0.08054392784833908,0.042427519346772975,488007,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,dihedral,linear,1000,3190,,,,,,,,,,,,,,,,,44.8882942199707,85.9309310913086,65.40961265563965,488007,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v1,eval_v1
