run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,1000,325,,,,,C,0.5833333333333334,0.4771524771524772,0.729080291735097,4,618,72,72,0,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,1000,325,,,,,A,0.2463768115942029,0.14884114188019112,0.6062161520730344,16,614,72,69,3,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,1000,325,,,,,T,0.175,0.04743589743589744,0.5382364772101902,64,508,72,40,32,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10083121806383133,0.05478885544378824,43310,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,29.876667022705078,78.32817840576172,54.1024227142334,43310,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,1000,325,,,,,C,0.625,0.535448717948718,0.8402757837050763,4,618,72,72,0,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,1000,325,,,,,A,0.2753623188405797,0.1688169318604101,0.684030877593069,16,614,72,69,3,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,1000,325,,,,,T,0.15,0.04321196045333977,0.6025920537731595,64,508,72,40,32,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10080812871456146,0.06815328316259309,43310,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,32.851016998291016,68.25453186035156,50.55277442932129,43310,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_v1,eval_clean_v2
