run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_afdb_256_step1700k,1700000,0,1.0,cath,,1000,62,,,,,C,0.5333333333333333,0.4248366013071896,0.6622906725071168,4,401,17,15,2,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,cath,,1000,62,,,,,A,0.2,0.14320987654320985,0.44533977672927944,15,388,17,15,2,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,cath,,1000,62,,,,,T,0.0,0.0,0.4730113983414609,31,272,17,6,11,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,inverse_folding,linear,1000,62,,,,,,,,,,,,,,0.07893500477075577,0.036778786614433456,6385,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,dihedral,linear,1000,62,,,,,,,,,,,,,,,,,38.67382049560547,88.3036880493164,63.48875427246094,6385,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,cath,,1000,62,,,,,C,0.6666666666666666,0.48538961038961037,0.8946023735044639,4,401,17,15,2,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,cath,,1000,62,,,,,A,0.26666666666666666,0.19047619047619047,0.6428640588623921,15,388,17,15,2,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,cath,,1000,62,,,,,T,0.0,0.0,0.5289165404715832,31,272,17,6,11,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,inverse_folding,linear,1000,62,,,,,,,,,,,,,,0.09115113317966461,0.054363124746822276,6385,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,dihedral,linear,1000,62,,,,,,,,,,,,,,,,,37.900535583496094,73.69302368164062,55.79677963256836,6385,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,2,1.0,cath,,1000,62,,,,,C,0.6,0.4535714285714286,0.9427267492210828,4,401,17,15,2,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
baseline_afdb_256_step1700k,1700000,2,1.0,cath,,1000,62,,,,,A,0.26666666666666666,0.12337662337662338,0.7442850914840634,15,388,17,15,2,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v1,eval_clean_v2
