run,step,layer,t,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,dim,ckpt_path,train_manifest,eval_manifest
baseline,400000,0,1.0,mlp,5000,500,490,0.9398969096696999,0.8844777736894794,0.7483508660848096,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,1,1.0,mlp,5000,500,490,0.9368661308126568,0.8771478716962009,0.7372432246431633,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,2,1.0,mlp,5000,500,490,0.9394271657672744,0.8834873023422884,0.7464562775200132,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,3,1.0,mlp,5000,500,490,0.9375110348515011,0.8775188577402576,0.7401585291396923,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,4,1.0,mlp,5000,500,490,0.9323510386599496,0.8690125493865423,0.7288884376720388,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,5,1.0,mlp,5000,500,490,0.9302385271354422,0.8642759080868929,0.7255640659751332,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,6,1.0,mlp,5000,500,490,0.9302592597118073,0.8664196435738536,0.7258463522752591,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,7,1.0,mlp,5000,500,490,0.9284743863999768,0.8624934988481632,0.7224302231851029,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,8,1.0,mlp,5000,500,490,0.9289776504564834,0.862509958733661,0.72163632136282,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline,400000,9,1.0,mlp,5000,500,490,0.9302812244719555,0.8643735418458907,0.7228133867393897,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000005_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,0,1.0,mlp,5000,500,490,0.938274470852415,0.8806371906330237,0.7438336184713268,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,1,1.0,mlp,5000,500,490,0.9359100113746477,0.8780950162748945,0.740283952686425,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,2,1.0,mlp,5000,500,490,0.9399836373182322,0.8859386471439321,0.750525189158847,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,3,1.0,mlp,5000,500,490,0.9362051899993447,0.8745195797014933,0.7374838978060455,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,4,1.0,mlp,5000,500,490,0.9355556366441472,0.8715646318488924,0.7335271226553787,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,5,1.0,mlp,5000,500,490,0.9331587543392009,0.8665038215861263,0.7274623331111162,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,6,1.0,mlp,5000,500,490,0.9322921973057817,0.863876557371382,0.724580252949907,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,7,1.0,mlp,5000,500,490,0.925094444596149,0.8556409216144018,0.7160475108595152,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,8,1.0,mlp,5000,500,490,0.9268359914241964,0.8600312922966242,0.7216520996184995,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
baseline_128,800000,9,1.0,mlp,5000,500,490,0.9302213189692138,0.8610921820906328,0.7219619652212932,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,0,1.0,mlp,5000,500,490,0.9291108940953801,0.8560479078528282,0.7105658874627124,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,1,1.0,mlp,5000,500,490,0.9254320500282307,0.8484595424571328,0.7032013498690393,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,2,1.0,mlp,5000,500,490,0.9270015492067234,0.851505793288445,0.7046714432103296,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,3,1.0,mlp,5000,500,490,0.9174525960567315,0.8383424210869768,0.6924395734306169,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,4,1.0,mlp,5000,500,490,0.9174898189180699,0.8351034176828744,0.68823560285755,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,5,1.0,mlp,5000,500,490,0.9208539261585176,0.8400539398640418,0.6915758392255232,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,6,1.0,mlp,5000,500,490,0.9151430867249067,0.8314010449693998,0.6860076408322392,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,7,1.0,mlp,5000,500,490,0.9144816881828681,0.8304836463479164,0.6848034438452194,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,8,1.0,mlp,5000,500,490,0.909035587498517,0.8257080425798542,0.6794390802429561,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l0_128,400000,9,1.0,mlp,5000,500,490,0.9179670500217902,0.8370049426556296,0.6902772758156566,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,0,1.0,mlp,5000,500,490,0.9309158223096089,0.8612273728377752,0.7184684999635662,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
repa_l4_128,400000,1,1.0,mlp,5000,500,490,0.926058703554764,0.8578687598871602,0.7116320592995986,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,train_v1,eval_v1
