run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_afdb_128_bs80_step1000k,1000000,0,1.0,cath,,5000,1586,,,,,C,0.8464328899637243,0.7190060548308759,0.8013860397965573,5,2534,827,827,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,0,1.0,cath,,5000,1586,,,,,A,0.7103030303030303,0.48362704186404143,0.6120383352606273,15,2522,827,825,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,0,1.0,cath,,5000,1586,,,,,T,0.7435567010309279,0.45431545566011866,0.550070701424159,99,2423,827,776,51,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,0,1.0,inverse_folding,linear,5000,1586,,,,,,,,,,,,,,0.14879386126995087,0.0949396587125558,138292,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,0,1.0,dihedral,linear,5000,1586,,,,,,,,,,,,,,,,,21.538991928100586,24.84737205505371,23.19318199157715,138292,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,1,1.0,cath,,5000,1586,,,,,C,0.8887545344619106,0.7596631757170791,0.8661543064027172,5,2534,827,827,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,1,1.0,cath,,5000,1586,,,,,A,0.8012121212121213,0.5845595527453116,0.7235288483737856,15,2522,827,825,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,1,1.0,cath,,5000,1586,,,,,T,0.8028350515463918,0.5819492628854337,0.6573043758294901,99,2423,827,776,51,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,1,1.0,inverse_folding,linear,5000,1586,,,,,,,,,,,,,,0.16060219705104828,0.11213312967670788,138292,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_128_bs80_step1000k,1000000,1,1.0,dihedral,linear,5000,1586,,,,,,,,,,,,,,,,,20.596059799194336,17.246362686157227,18.92121124267578,138292,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_128_bs80_2gpu/checkpoints/chk_epoch=00000966_step=000001000000-EMA.ckpt,train_v1,eval_v1
