run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_128_bs24_step200k,200000,0,1.0,cath,,5000,1586,,,,,C,0.7799274486094316,0.6870117057860289,0.6668715018156917,5,2534,827,827,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,0,1.0,cath,,5000,1586,,,,,A,0.6424242424242425,0.43794216310215983,0.543583812541857,15,2522,827,825,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,0,1.0,cath,,5000,1586,,,,,T,0.6688144329896907,0.4234656143180806,0.5147111746418236,99,2423,827,776,51,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,1,1.0,cath,,5000,1586,,,,,C,0.8077388149939541,0.7080248295925575,0.7396199732275198,5,2534,827,827,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,1,1.0,cath,,5000,1586,,,,,A,0.68,0.46257901431495024,0.5877031106590576,15,2522,827,825,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,1,1.0,cath,,5000,1586,,,,,T,0.6868556701030928,0.43794269497910654,0.5478211539482352,99,2423,827,776,51,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,2,1.0,cath,,5000,1586,,,,,C,0.7908101571946796,0.6817912103502715,0.751218623688,5,2534,827,827,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,2,1.0,cath,,5000,1586,,,,,A,0.6460606060606061,0.4492788248600725,0.6039203959090095,15,2522,827,825,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,2,1.0,cath,,5000,1586,,,,,T,0.6932989690721649,0.43744656302290735,0.5869165850477451,99,2423,827,776,51,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_128_bs24_step200k,200000,3,1.0,cath,,5000,1586,,,,,C,0.7762998790810157,0.6776298446243009,0.7495798794278715,5,2534,827,827,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000046_step=000000200000-EMA.ckpt,train_v1,eval_v1
