run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_128_bs80_step200k,200000,0,1.0,cath,,1000,154,,,,,C,0.6521739130434783,0.6123015873015873,0.7632208613257447,4,499,23,23,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,0,1.0,cath,,1000,154,,,,,A,0.43478260869565216,0.2738095238095238,0.6471774598045615,12,497,23,23,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,0,1.0,cath,,1000,154,,,,,T,0.07142857142857142,0.058823529411764705,0.45553815145899834,50,434,23,14,9,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,0,1.0,inverse_folding,linear,1000,154,,,,,,,,,,,,,,0.12419739365577698,0.08025244054353955,10902,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,0,1.0,dihedral,linear,1000,154,,,,,,,,,,,,,,,,,22.730215072631836,34.124671936035156,28.427443504333496,10902,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,1,1.0,cath,,1000,154,,,,,C,0.6521739130434783,0.6444444444444444,0.8247890731367525,4,499,23,23,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,1,1.0,cath,,1000,154,,,,,A,0.391304347826087,0.20666666666666664,0.6782406352723724,12,497,23,23,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,1,1.0,cath,,1000,154,,,,,T,0.07142857142857142,0.058823529411764705,0.5070778510671595,50,434,23,14,9,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,1,1.0,inverse_folding,linear,1000,154,,,,,,,,,,,,,,0.13630525767803192,0.0993577324062435,10902,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
baseline_128_bs80_step200k,200000,1,1.0,dihedral,linear,1000,154,,,,,,,,,,,,,,,,,22.590072631835938,18.30417251586914,20.44712257385254,10902,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128_bs80/checkpoints/chk_epoch=00000153_step=000000200000-EMA.ckpt,train_v1,eval_clean_v2
