run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,5000,3190,,,,,C,0.5562001450326324,0.3705174284200011,0.6364092362041036,5,2225,1379,1379,0,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,5000,3190,,,,,A,0.2988338192419825,0.1321691212104501,0.46208547990745713,25,2216,1379,1372,7,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,cath,,5000,3190,,,,,T,0.19673617407071622,0.04637323734560206,0.49080764620339223,146,1925,1379,1103,276,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.08116277307271957,0.030574952667502632,488007,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,0,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,34.68648910522461,82.82847595214844,58.75748252868652,488007,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,5000,3190,,,,,C,0.6693255982596084,0.4501709371367274,0.7479305634320847,5,2225,1379,1379,0,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,5000,3190,,,,,A,0.3717201166180758,0.15804660568496412,0.5680687060769787,25,2216,1379,1372,7,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,cath,,5000,3190,,,,,T,0.2257479601087942,0.05909230058524732,0.5899402331284368,146,1925,1379,1103,276,,,,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.08422829955816269,0.038641736469309,488007,,,,,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
baseline_256_bs24_2gpu_step1600k,1600000,1,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,35.189552307128906,80.55165100097656,57.870601654052734,488007,,,,,,512,42,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000140_step=000001600000-EMA.ckpt,train_clean_v2,eval_v1
