run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step100k,100000,0,1.0,cath,,1000,72,,,,,C,0.45,0.31265664160401,0.6545051683260679,4,401,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,0,1.0,cath,,1000,72,,,,,A,0.25,0.19777777777777777,0.4507909038836661,15,388,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,0,1.0,cath,,1000,72,,,,,T,0.125,0.05555555555555555,0.42981535001659926,31,272,22,8,14,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,0,1.0,inverse_folding,linear,1000,72,,,,,,,,,,,,,,0.07203551381826401,0.03232197992791622,7885,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,0,1.0,dihedral,linear,1000,72,,,,,,,,,,,,,,,,,33.9774055480957,87.70955657958984,60.84348106384277,7885,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,1,1.0,cath,,1000,72,,,,,C,0.45,0.31265664160401,0.6672469403013431,4,401,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,1,1.0,cath,,1000,72,,,,,A,0.25,0.19777777777777777,0.4910955491057546,15,388,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,1,1.0,cath,,1000,72,,,,,T,0.125,0.05555555555555555,0.4555317804545193,31,272,22,8,14,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,1,1.0,inverse_folding,linear,1000,72,,,,,,,,,,,,,,0.07102092355489731,0.031163228340207082,7885,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,1,1.0,dihedral,linear,1000,72,,,,,,,,,,,,,,,,,34.88186264038086,90.1858139038086,62.53383827209473,7885,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,2,1.0,cath,,1000,72,,,,,C,0.5,0.35,0.6672399464682416,4,401,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,2,1.0,cath,,1000,72,,,,,A,0.25,0.19777777777777777,0.4889722510366052,15,388,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,2,1.0,cath,,1000,72,,,,,T,0.125,0.05555555555555555,0.48073628992771994,31,272,22,8,14,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,2,1.0,inverse_folding,linear,1000,72,,,,,,,,,,,,,,0.07850348949432373,0.026493014165317935,7885,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,2,1.0,dihedral,linear,1000,72,,,,,,,,,,,,,,,,,36.50132751464844,88.13544464111328,62.31838607788086,7885,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
baseline_256_bs24_2gpu_step100k,100000,3,1.0,cath,,1000,72,,,,,C,0.5,0.35,0.6604847351918784,4,401,22,20,2,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000008_step=000000100000-EMA.ckpt,train_v1,clean_v1
