run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_256_ep21,400000,0,1.0,cath,,5000,4521,,,,,C,0.8086707273378717,0.6329538466599152,0.7813665727924456,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,0,1.0,cath,,5000,4521,,,,,A,0.5795536357091433,0.40067640700339197,0.5240122769586802,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,0,1.0,cath,,5000,4521,,,,,T,0.5547417116422514,0.38899543536733655,0.48047382481021783,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,cath,,5000,4521,,,,,C,0.861698316015765,0.695724916860191,0.8496034076642375,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,cath,,5000,4521,,,,,A,0.6677465802735781,0.5338096662282996,0.6267407969053559,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,cath,,5000,4521,,,,,T,0.633384734001542,0.47741794300009116,0.5720431521067035,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,cath,,5000,4521,,,,,C,0.8670727337871731,0.7042369625474713,0.8718515354983387,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,cath,,5000,4521,,,,,A,0.6857451403887689,0.5646595109462815,0.6622425060757837,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,cath,,5000,4521,,,,,T,0.6707787201233616,0.5123390710640628,0.6258996435615943,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,cath,,5000,4521,,,,,C,0.8656395557147976,0.7031412043073084,0.8670319496043462,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,cath,,5000,4521,,,,,A,0.6421886249100072,0.47853764482739447,0.60044305250279,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,cath,,5000,4521,,,,,T,0.6021588280647648,0.4235874800522226,0.5756683755216078,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,cath,,5000,4521,,,,,C,0.8584736653529201,0.6844966185440102,0.8679691375628413,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,cath,,5000,4521,,,,,A,0.5698344132469403,0.3223432293170492,0.5295559227846957,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,cath,,5000,4521,,,,,T,0.5740169622205089,0.38446163202560313,0.4769940879352255,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,cath,,5000,4521,,,,,C,0.8534575420996059,0.6860886109550025,0.8456872168376746,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,cath,,5000,4521,,,,,A,0.5961123110151187,0.39284957492245903,0.5570674527356532,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,cath,,5000,4521,,,,,T,0.5605242868157286,0.38035787947658944,0.5432213405933349,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,6,1.0,cath,,5000,4521,,,,,C,0.8495163024005733,0.6747712504383279,0.8539189508418394,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,6,1.0,cath,,5000,4521,,,,,A,0.5475161987041036,0.2940650564944082,0.5057342963442989,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,6,1.0,cath,,5000,4521,,,,,T,0.5632228218966847,0.3743228501737703,0.5162178587041303,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,7,1.0,cath,,5000,4521,,,,,C,0.8566821927624507,0.6912401587913118,0.8604635257428153,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,7,1.0,cath,,5000,4521,,,,,A,0.578113750899928,0.36528253962008544,0.5433551477273586,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,7,1.0,cath,,5000,4521,,,,,T,0.5393215111796453,0.33787752530421167,0.4501870053909716,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,8,1.0,cath,,5000,4521,,,,,C,0.8552490146900752,0.6884933558332854,0.86215611912638,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,8,1.0,cath,,5000,4521,,,,,A,0.5953923686105111,0.43426628918183485,0.6052496124526365,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,8,1.0,cath,,5000,4521,,,,,T,0.5474171164225135,0.34492450626764676,0.46372926554469945,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,9,1.0,cath,,5000,4521,,,,,C,0.8527409530634181,0.6730256265439558,0.8568184315727072,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,9,1.0,cath,,5000,4521,,,,,A,0.5640748740100792,0.3198780217034515,0.5319136516353589,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,9,1.0,cath,,5000,4521,,,,,T,0.525828835774865,0.32329038053771,0.4430886246715256,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,0,1.0,cath,,5000,4521,,,,,C,0.8230025080616267,0.6251674835952779,0.7818256095401176,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,0,1.0,cath,,5000,4521,,,,,A,0.5532757379409647,0.2920538026660535,0.47593575277945915,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,0,1.0,cath,,5000,4521,,,,,T,0.45373939861218193,0.23247878233313138,0.3324424703685316,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,1,1.0,cath,,5000,4521,,,,,C,0.8702973844500179,0.6964729745784636,0.8277470005286935,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,1,1.0,cath,,5000,4521,,,,,A,0.63678905687545,0.41500719290885857,0.5423338361967963,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,1,1.0,cath,,5000,4521,,,,,T,0.5497301464919044,0.3279141376879244,0.3849284127250762,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,2,1.0,cath,,5000,4521,,,,,C,0.8821211035471157,0.7202275238767719,0.8481162611101166,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,2,1.0,cath,,5000,4521,,,,,A,0.6904247660187185,0.5168743285891907,0.5888664972026455,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,2,1.0,cath,,5000,4521,,,,,T,0.6410948342328451,0.42938620650148956,0.4444446189448925,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,3,1.0,cath,,5000,4521,,,,,C,0.8971694733070584,0.7361082838290667,0.8676406739392437,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,3,1.0,cath,,5000,4521,,,,,A,0.7473002159827213,0.5925174240278283,0.6388975507567547,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,3,1.0,cath,,5000,4521,,,,,T,0.7089437162683115,0.5152630938260103,0.502955042598891,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,4,1.0,cath,,5000,4521,,,,,C,0.9032604801146542,0.7436425623506505,0.8787052368751836,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,4,1.0,cath,,5000,4521,,,,,A,0.7649388048956084,0.6373500706999083,0.6725773192075631,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,4,1.0,cath,,5000,4521,,,,,T,0.7521202775636083,0.5834797491348209,0.5508418659369146,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,5,1.0,cath,,5000,4521,,,,,C,0.9111429595127195,0.756279193982407,0.8831579127526339,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,5,1.0,cath,,5000,4521,,,,,A,0.7786177105831533,0.6464945985150103,0.6860506668570775,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,5,1.0,cath,,5000,4521,,,,,T,0.7636854279105628,0.5970549751074468,0.568110170244433,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,6,1.0,cath,,5000,4521,,,,,C,0.9111429595127195,0.7581012776157694,0.8846358602293308,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,6,1.0,cath,,5000,4521,,,,,A,0.7832973362131029,0.6643248355777925,0.6891698352234632,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,6,1.0,cath,,5000,4521,,,,,T,0.7675404780262144,0.6012088994850605,0.5755060024859552,161,2978,2791,2594,197,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,7,1.0,cath,,5000,4521,,,,,C,0.9107846649946256,0.7580985947861911,0.8851277497782509,5,3144,2791,2791,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
baseline_afdb_256_ep20,200000,7,1.0,cath,,5000,4521,,,,,A,0.7800575953923686,0.6543230044330963,0.6908836000091964,21,3134,2791,2778,13,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000020_step=000000200000-EMA.ckpt,train_v1,eval_v1
