run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_256_ep21,400000,0,1.0,cath,,5000,3190,,,,,C,0.719361856417694,0.534665725786125,0.7468517716521823,5,2150,1379,1379,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,0,1.0,cath,,5000,3190,,,,,A,0.38803792851932895,0.20941901006722233,0.5365580109423487,24,2144,1379,1371,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,0,1.0,cath,,5000,3190,,,,,T,0.276541095890411,0.15175006926013848,0.49599556673257766,128,1910,1379,1168,211,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,0,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.09317079186439514,0.04647225440314014,488007,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,0,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,34.95235824584961,74.8666000366211,54.90947914123535,488007,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,cath,,5000,3190,,,,,C,0.8252356780275562,0.6251336442072836,0.8845373554820521,5,2150,1379,1379,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,cath,,5000,3190,,,,,A,0.4938001458789205,0.31051088150932427,0.6550302234996769,24,2144,1379,1371,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,cath,,5000,3190,,,,,T,0.3476027397260274,0.17656501527954008,0.5693901618750075,128,1910,1379,1168,211,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.11426475644111633,0.059128209675965424,488007,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,1,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,31.38089942932129,43.33315658569336,37.357028007507324,488007,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,cath,,5000,3190,,,,,C,0.8339376359680928,0.6361545205246913,0.8933669174064471,5,2150,1379,1379,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,cath,,5000,3190,,,,,A,0.5047410649161196,0.2894777744240477,0.6614955416487297,24,2144,1379,1371,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,cath,,5000,3190,,,,,T,0.3587328767123288,0.18323735290888218,0.595712057801945,128,1910,1379,1168,211,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.11487334966659546,0.06709889588353407,488007,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,2,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,36.24275207519531,42.665321350097656,39.454036712646484,488007,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,cath,,5000,3190,,,,,C,0.8245105148658448,0.6201020113290019,0.8981632905090189,5,2150,1379,1379,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,cath,,5000,3190,,,,,A,0.4938001458789205,0.2578666386704322,0.6467183888970864,24,2144,1379,1371,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,cath,,5000,3190,,,,,T,0.348458904109589,0.1868525469737902,0.640090253056525,128,1910,1379,1168,211,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.108779177069664,0.05940190382930429,488007,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,3,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,29.902448654174805,43.40282440185547,36.65263652801514,488007,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,cath,,5000,3190,,,,,C,0.8324873096446701,0.6345237379659784,0.8851718036314997,5,2150,1379,1379,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,cath,,5000,3190,,,,,A,0.48431801604668123,0.23070139483896665,0.5875207295401057,24,2144,1379,1371,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,cath,,5000,3190,,,,,T,0.3321917808219178,0.16811251430754404,0.5466445434847604,128,1910,1379,1168,211,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.09275481849908829,0.0437950452174647,488007,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,4,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,36.164039611816406,46.62958908081055,41.39681434631348,488007,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,cath,,5000,3190,,,,,C,0.8317621464829587,0.6456741772760269,0.8818285745165686,5,2150,1379,1379,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,cath,,5000,3190,,,,,A,0.48358862144420134,0.2390114734899694,0.5925713714112445,24,2144,1379,1371,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,cath,,5000,3190,,,,,T,0.3441780821917808,0.16421815409903182,0.4821622296252143,128,1910,1379,1168,211,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,inverse_folding,linear,5000,3190,,,,,,,,,,,,,,0.09029378741979599,0.031354414086661245,488007,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
baseline_256_ep21,400000,5,1.0,dihedral,linear,5000,3190,,,,,,,,,,,,,,,,,31.91594886779785,44.85392379760742,38.38493633270264,488007,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,train_v1,eval_v1
