run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,ckpt_path,train_manifest,eval_manifest
baseline_afdb_256_step1700k,1700000,0,1.0,cath,,5000,62,,,,,C,0.5294117647058824,0.33212121212121215,0.6265036876601461,5,2082,17,17,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,cath,,5000,62,,,,,A,0.29411764705882354,0.1626984126984127,0.4134738375026654,23,2074,17,17,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,cath,,5000,62,,,,,T,0.1111111111111111,0.05555555555555555,0.24738018210137036,131,1829,17,9,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,inverse_folding,linear,5000,62,,,,,,,,,,,,,,0.0855129212141037,0.026226277627043076,6385,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,0,1.0,dihedral,linear,5000,62,,,,,,,,,,,,,,,,,32.530452728271484,69.17405700683594,50.85225486755371,6385,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,cath,,5000,62,,,,,C,0.5882352941176471,0.3836007130124777,0.8477777470875724,5,2082,17,17,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,cath,,5000,62,,,,,A,0.4117647058823529,0.32857142857142857,0.6208809926795326,23,2074,17,17,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,cath,,5000,62,,,,,T,0.1111111111111111,0.09090909090909091,0.4866655993753665,131,1829,17,9,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,inverse_folding,linear,5000,62,,,,,,,,,,,,,,0.10931871831417084,0.05051657319466146,6385,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,1,1.0,dihedral,linear,5000,62,,,,,,,,,,,,,,,,,28.07847785949707,47.980037689208984,38.02925777435303,6385,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,2,1.0,cath,,5000,62,,,,,C,0.6470588235294118,0.42666666666666664,0.900697911317318,5,2082,17,17,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,2,1.0,cath,,5000,62,,,,,A,0.4117647058823529,0.31296296296296294,0.7273800574965725,23,2074,17,17,0,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
baseline_afdb_256_step1700k,1700000,2,1.0,cath,,5000,62,,,,,T,0.2222222222222222,0.1282051282051282,0.5635355075352159,131,1829,17,9,8,,,,,,,,,,,,,512,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_afdb_swissprot_256/checkpoints/chk_epoch=00000175_step=000001700000-EMA.ckpt,train_v2,eval_clean_v2
