run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
gearnet,0,-1,1.00,512,0.5095,0.6215,0.3232,0.4101,0.6215,4,none,nan,nan,0,v1,,
baseline_128,800000,0,1.00,512,0.7999,0.9279,0.5292,0.7686,0.9279,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,1,1.00,512,0.8012,0.8131,0.4392,0.6436,0.8131,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,2,1.00,512,0.8743,0.9868,0.5443,0.8324,0.9868,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,3,1.00,512,0.7436,0.7423,0.3204,0.4232,0.7423,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,4,1.00,512,0.6143,0.7018,0.3627,0.4647,0.7018,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,5,1.00,512,0.5304,0.6333,0.3690,0.4548,0.6333,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,6,1.00,512,0.4586,0.6129,0.3186,0.4189,0.6129,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,7,1.00,512,0.4263,0.6215,0.3254,0.4242,0.6215,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,8,1.00,512,0.4981,0.6860,0.3712,0.4827,0.6860,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,9,1.00,512,0.4490,0.6501,0.3686,0.5021,0.6501,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,0,0.50,512,0.0915,0.0744,0.0612,0.0742,0.0744,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,1,0.50,512,0.0132,0.0526,0.0861,0.0856,0.0526,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,2,0.50,512,0.0635,0.0503,0.0849,0.0752,0.0503,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,3,0.50,512,0.0526,0.0898,0.0841,0.0889,0.0898,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,4,0.50,512,0.0921,0.0526,0.0630,0.0671,0.0526,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,5,0.50,512,0.0789,0.0658,0.0724,0.0690,0.0658,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,6,0.50,512,0.0789,0.0395,0.0848,0.0681,0.0395,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,7,0.50,512,0.0921,0.0898,0.0780,0.0804,0.0898,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,8,0.50,512,0.0789,0.0789,0.0780,0.0794,0.0789,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
baseline_128,800000,9,0.50,512,0.0921,0.0658,0.0867,0.0837,0.0658,4,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,
random_rank,0,-100,1.00,0,nan,0.0371,0.0289,0.0327,0.0371,4,none,nan,nan,0,v1,,
