run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
gearnet,0,-1,1.00,512,0.6021,0.6293,0.4089,0.5020,0.6293,39,T,1.0000,1.0000,9,v1,,
esm_repa_l0_128,87500,0,1.00,512,0.8561,0.8582,0.5820,0.7460,0.8582,39,T,0.4000,0.3333,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,1,1.00,512,0.8522,0.8606,0.5807,0.7395,0.8606,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,2,1.00,512,0.8635,0.8748,0.5907,0.7506,0.8748,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,3,1.00,512,0.8544,0.8470,0.5508,0.7128,0.8470,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,4,1.00,512,0.8586,0.8478,0.5521,0.7132,0.8478,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,5,1.00,512,0.8265,0.8562,0.5584,0.7219,0.8562,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,6,1.00,512,0.8044,0.8204,0.5253,0.6828,0.8204,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,7,1.00,512,0.7851,0.8093,0.5197,0.6765,0.8093,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,8,1.00,512,0.7883,0.8272,0.5376,0.6960,0.8272,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,9,1.00,512,0.8071,0.8380,0.5481,0.7046,0.8380,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,0,0.75,512,0.4828,0.4907,0.3479,0.4153,0.4907,39,T,0.7000,0.6852,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,1,0.75,512,0.5027,0.5310,0.3572,0.4432,0.5310,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,2,0.75,512,0.5184,0.5399,0.3640,0.4434,0.5399,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,3,0.75,512,0.5301,0.5245,0.3674,0.4507,0.5245,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,4,0.75,512,0.5213,0.5298,0.3616,0.4457,0.5298,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,5,0.75,512,0.5046,0.5147,0.3475,0.4320,0.5147,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,6,0.75,512,0.4994,0.5122,0.3448,0.4380,0.5122,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,7,0.75,512,0.5006,0.5117,0.3413,0.4294,0.5117,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,8,0.75,512,0.5048,0.5091,0.3439,0.4327,0.5091,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,9,0.75,512,0.5073,0.5009,0.3406,0.4344,0.5009,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,0,0.50,512,0.1718,0.1673,0.1384,0.1468,0.1673,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,1,0.50,512,0.1927,0.2020,0.1558,0.1769,0.2020,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,2,0.50,512,0.1922,0.2079,0.1599,0.1886,0.2079,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,3,0.50,512,0.1987,0.2028,0.1525,0.1714,0.2028,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,4,0.50,512,0.2014,0.1982,0.1534,0.1673,0.1982,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,5,0.50,512,0.1867,0.1895,0.1510,0.1720,0.1895,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,6,0.50,512,0.1929,0.2063,0.1490,0.1804,0.2063,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,7,0.50,512,0.1908,0.2017,0.1520,0.1767,0.2017,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,8,0.50,512,0.1928,0.2089,0.1520,0.1773,0.2089,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l0_128,87500,9,0.50,512,0.1956,0.2133,0.1505,0.1773,0.2133,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l0_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,0,1.00,512,0.8654,0.8740,0.5923,0.7514,0.8740,39,T,0.6000,0.5556,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,1,1.00,512,0.8226,0.8369,0.5787,0.7291,0.8369,39,T,0.8000,0.7185,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,2,1.00,512,0.7444,0.7954,0.5240,0.6699,0.7954,39,T,0.8000,0.7185,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,3,1.00,512,0.7640,0.7682,0.5056,0.6424,0.7682,39,T,0.9000,0.8519,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,4,1.00,512,0.7898,0.8253,0.5428,0.6913,0.8253,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,5,1.00,512,0.7861,0.8094,0.5301,0.6741,0.8094,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,6,1.00,512,0.7577,0.8199,0.5353,0.6849,0.8199,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,7,1.00,512,0.7459,0.7890,0.5154,0.6565,0.7890,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,8,1.00,512,0.7625,0.8025,0.5240,0.6617,0.8025,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,9,1.00,512,0.7391,0.7950,0.5110,0.6486,0.7950,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,0,0.75,512,0.3838,0.4427,0.3187,0.3785,0.4427,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,1,0.75,512,0.4283,0.5139,0.3372,0.4151,0.5139,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,2,0.75,512,0.4773,0.5923,0.3910,0.4880,0.5923,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,3,0.75,512,0.5424,0.6158,0.4096,0.5120,0.6158,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,4,0.75,512,0.5727,0.6177,0.4294,0.5308,0.6177,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,5,0.75,512,0.6074,0.6227,0.4346,0.5355,0.6227,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,6,0.75,512,0.5919,0.6165,0.4301,0.5364,0.6165,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,7,0.75,512,0.5847,0.6060,0.4264,0.5353,0.6060,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,8,0.75,512,0.5919,0.6123,0.4290,0.5370,0.6123,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,9,0.75,512,0.5709,0.6066,0.4218,0.5312,0.6066,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,0,0.50,512,0.1187,0.1327,0.1035,0.1169,0.1327,39,T,0.8000,0.7963,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,1,0.50,512,0.1214,0.1464,0.1250,0.1393,0.1464,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,2,0.50,512,0.1663,0.1848,0.1449,0.1632,0.1848,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,3,0.50,512,0.2150,0.2350,0.1670,0.1907,0.2350,39,T,0.7000,0.6741,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,4,0.50,512,0.2360,0.2411,0.1808,0.1985,0.2411,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,5,0.50,512,0.2346,0.2664,0.1897,0.2170,0.2664,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,6,0.50,512,0.2257,0.2478,0.1861,0.2143,0.2478,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,7,0.50,512,0.2269,0.2482,0.1867,0.2082,0.2482,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
esm_repa_l4_128,248500,8,0.50,512,0.2174,0.2460,0.1836,0.2112,0.2460,39,T,0.6000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_esm_l4_128_per_residue/checkpoints/last-EMA.ckpt,
