seq_len,model_type,compile,gc_layers,max_bs,peak_mem_gb,steps_per_sec,time_per_step,eff_bs_256_accum
128,baseline,True,0,3,,,,86
128,baseline,True,5,3,,,,86
128,baseline,True,10,3,,,,86
128,repa,True,0,3,,,,86
128,repa,True,5,3,,,,86
128,repa,True,10,3,,,,86
256,baseline,True,0,3,,,,86
256,baseline,True,5,3,,,,86
256,baseline,True,10,3,,,,86
256,repa,True,0,3,,,,86
256,repa,True,5,3,,,,86
256,repa,True,10,3,,,,86
512,baseline,True,0,3,,,,86
512,baseline,True,5,3,,,,86
512,baseline,True,10,3,,,,86
512,repa,True,0,3,,,,86
512,repa,True,5,3,,,,86
512,repa,True,10,3,,,,86
