run,global_step,batch_size,samples_seen,_res_PDB_FID,_res_PDB_fJSD_C,_res_PDB_fJSD_A,_res_PDB_fJSD_T,_res_AFDB_FID,_res_AFDB_fJSD_C,_res_AFDB_fJSD_A,_res_AFDB_fJSD_T,_res_fS_C,_res_fS_A,_res_fS_T
Baseline (60M),10000,6,60000,78490.9765625,1.1961958433326347,5.33479391797441,5.836895486087745,78810.9296875,2.153506136425307,5.516595201328938,6.063659020500194,1.7154499292373655,2.2730774879455566,3.6694893836975098
Baseline (60M),20000,6,120000,180900.1875,1.1501527369474556,4.096265230029871,5.516237788497024,181170.484375,1.8947428007862124,3.894474026092572,5.289321637741068,1.7049758434295654,2.3998944759368896,3.157197952270508
Baseline (60M),40000,6,240000,37431.9140625,0.506341178172391,2.768835338134548,4.596866600523607,37495.296875,1.04369182103391,2.507236608789646,4.173216476116737,2.11503529548645,3.2452783584594727,5.844933032989502
Baseline (60M),80000,6,480000,15679.048828125,0.358249467305075,2.4379718904741834,4.357907651047148,15688.486328125,0.8101746738905542,2.098511605953983,3.913739162003772,2.1673617362976074,3.1696677207946777,7.988409996032715
Baseline (60M),150000,6,900000,2961.249755859375,0.0910474381163861,1.630273905434672,3.8560123584058834,2936.923583984375,0.3847478091983852,1.318339051808667,3.492131055984048,2.474694013595581,3.4239606857299805,13.761531829833984
Baseline (60M),250000,6,1500000,850.1358642578125,0.2843815006101572,1.244091548856041,3.882748181824305,848.1038208007812,0.5419084947508244,1.1603783705143067,3.895857808025169,2.332611322402954,4.305319309234619,17.355342864990234
Baseline (60M),350000,6,2100000,718.5459594726562,0.3075449517790103,0.998907907413942,3.373417876583278,733.824462890625,0.6339543757826267,1.108789456050222,3.515986645243636,2.345928192138672,4.708551406860352,20.582874298095703
Baseline (60M),450000,6,2700000,488.3339538574219,0.6914639778672202,0.9370459744007396,2.976553577495272,489.0398559570313,0.2650764065386881,0.5457288901121968,2.9386124619352785,1.9798604249954224,3.612630844116211,26.06480026245117
Baseline (60M),550000,6,3300000,921.6300659179688,1.8117033576322457,2.427433969205348,4.446634839524173,825.133056640625,0.8756216920528125,1.4609555892865889,3.977582040481445,2.3311145305633545,3.2561066150665283,10.886449813842772
Baseline (60M),650000,6,3900000,765.7008056640625,1.7513011402812535,2.1872852949136723,4.194865833178941,689.743896484375,0.9038090134259956,1.298757526016271,3.7248911934197073,2.4153428077697754,3.5877153873443604,13.840426445007324
