idx,valid,smiles,qed,logP,mol_weight,num_atoms,num_bonds,num_rings,hbd,hba
0,True,CCc1ccc(OCc2nnc(CNC(=O)c3ccccc3)o2)cc1,0.7165122801231021,3.141000000000002,337.379,25,27,3,1,5
1,False,,,,,,,,,
2,True,CCOc1ccc(OCCCC(=O)NNC(=O)c2cccnc2)cc1,0.5658567337126355,2.1005,343.383,25,26,2,2,5
3,True,COc1ccccc1C=Nc1cccc2nc3n(c12)C(C1=CC=CCC1=O)C=N3,0.6236684065069203,4.507900000000003,382.4230000000001,29,33,5,0,6
4,False,,,,,,,,,
5,True,CCOc1ccc(NS(=O)(=O)N2CCN(S(=O)(=O)c3ccc(OC)c(OC)c3)CC2)cc1,0.575625859889258,1.7656999999999996,485.5840000000003,32,34,3,1,7
6,True,CCOC(=O)C1=C2C(=Nc3c(C)cc(Cl)cc32)OC1,0.7808092503734846,3.038920000000002,277.707,19,21,3,0,4
7,True,COC(=O)c1ccccc1NC(=O)Cn1c(=O)sc2sccc21,0.7352151581278753,2.549800000000001,348.40500000000003,23,25,3,1,7
8,True,CS(=O)(=O)c1cccc(C(=O)NCCC(=O)Nc2ccccc2)c1,0.8347694326372762,1.8487,346.408,24,25,2,2,4
9,True,CCc1ccc(NC(=O)COC(=O)C2CCCN(C(=O)c3cccc4ccccc34)C2)cc1,0.5707025375669714,4.436300000000004,444.5310000000001,33,36,4,1,4
10,True,CCc1ccccc1NC(=O)CCC(=O)Nc1ccccc1OC,0.8164755572532909,3.615000000000002,326.396,24,25,2,2,3
11,True,CCCCN1C(=O)NC(=O)C(C(C)=NC(C)C(=O)Nc2cccc(OC)c2)C1=O,0.5092709663587341,1.9777999999999993,402.45100000000014,29,30,2,2,6
12,True,O=C(NN1C(=O)C2CC(=O)N(c3ccccc3)C2C1=O)c1ccc(F)cc1,0.8278359917951676,1.260999999999999,367.3360000000001,27,30,4,1,4
13,True,COc1cccc(-c2cnc3ccccc3n2)c1,0.6843550212210402,3.3054000000000014,236.274,18,20,3,0,3
14,True,O=C(NNC(=O)c1cccc2ccccc12)C1=C(F)C(F)=C(F)C1F,0.6448164895837147,3.3267000000000015,350.271,25,27,3,2,2
15,True,CCc1nnc(NC(=O)C(C)OC(=O)c2ccc(N3CCOCC3)cc2)s1,0.755227494641243,2.1210999999999998,390.4650000000002,27,29,3,1,8
16,True,COC(=O)c1sc2ccccc2c1-c1cc2ccccc2o1,0.48351948166658054,5.101100000000003,308.35800000000006,22,25,4,0,4
17,True,CCCCC(=O)Nc1ccccc1N1Cc2ccccc2C1=O,0.9081040759861227,3.9757000000000033,308.3810000000001,23,25,3,1,2
18,True,CCN=NC(=O)c1ccc(Cl)c(S(=O)(=O)N2CCCc3ccccc32)c1,0.7358672057766967,4.093800000000004,391.88000000000017,26,28,3,0,4
19,True,CC(=O)c1ccc(OCC(=O)Nc2cccc3ccc(=O)[nH]c23)cc1,0.7013244437959611,2.7482000000000006,336.34700000000004,25,27,3,2,4
20,True,COc1ccc(C(=O)c2cc(C(=O)Nc3ccon3)c(C)[nH]c2=O)cc1,0.6794964773817302,2.16322,353.33400000000006,26,28,3,2,6
21,True,Cc1cccc(-n2nc3ccccc3c2NC2C(=O)c3ccccc3C2=O)c1,0.5515290013281213,4.193620000000003,367.40800000000013,28,32,5,1,5
22,True,COc1ccc(CNC(=O)CCNC(=O)c2ccc(NC(C)=O)cc2)cc1,0.6637659755171423,2.089899999999999,369.42100000000005,27,28,2,3,4
23,True,CC=CC(=O)C=Nc1cccc2ccccc12,0.5760760030022234,3.6873000000000022,223.275,17,18,2,0,2
24,True,ON1CCc2ccccc2N1c1ccccc1,0.8093904999397774,2.987000000000002,226.279,17,19,3,1,3
25,True,CC(=O)CC(=O)c1ccc(C=CC(=O)c2ccc3ccccc3c2)o1,0.37886005987472215,4.490700000000003,332.355,25,27,3,0,4
26,True,O=C(CSc1nnc(Cc2cccc(C(F)(F)F)c2)o1)c1ccc(Cl)cc1Cl,0.34483730016891195,5.961000000000003,447.2650000000001,28,30,3,0,5
27,True,COC(=O)c1cccc(COCC(=O)NCCc2ccccc2)c1,0.7560322429026414,2.3487,327.37999999999994,24,25,2,1,4
28,True,O=C(Nc1ccccc1C(=O)O)c1cccs1,0.8758756774084292,2.6986000000000008,247.27499999999998,17,18,2,2,3
