idx,valid,smiles,qed,logP,mol_weight,num_atoms,num_bonds,num_rings,hbd,hba
0,True,COC(=O)CC(O)C=CN1C(=O)c2ccccc2C1=O,0.6462843191861583,0.7202999999999999,275.26000000000005,20,21,2,1,5
1,True,Cc1ccc(C)c(NC(=O)c2ccc(F)cc2F)c1,0.8740583944911531,3.833940000000003,261.27099999999996,19,20,2,1,1
2,True,COc1ccc(OCCOC(=O)Cc2ccc(Br)cc2)cc1,0.5554310563165238,3.6224000000000025,365.22299999999996,22,23,2,0,4
3,True,Cc1n[nH]c(C)c1C(=O)NNc1ccccc1-c1ccccc1,0.6465891401721838,3.450440000000002,306.369,23,25,3,3,3
4,True,CCOC(=O)Nc1cccc(NC(=O)COc2ccc(Cl)cc2Cl)c1,0.7657501581711657,4.579300000000003,383.2310000000001,25,26,2,2,4
5,True,Cc1cccc(NC(=O)COC(=O)c2ccc(C(F)(F)F)nc2-c2ccccc2)c1,0.605042882914888,4.871320000000003,414.38300000000004,30,32,3,1,4
6,True,COc1ccc(OCCCNC(=O)NC(=O)c2ccc(C)c(OC)c2)c(OC)c1,0.6264762165300171,2.9293200000000015,402.4470000000002,29,30,2,2,6
7,True,Cc1ccc2nn(CC(=O)NCCc3ccc(Cl)cc3)cc2c1,0.7807920663201505,3.357020000000002,327.81500000000005,23,25,3,1,3
8,True,CC(=O)Nc1ccc(S(=O)(=O)NCCC(=O)Nc2ccc(Cl)cc2)cc1,0.6697090472876589,2.6055,395.86800000000005,26,27,2,3,4
9,True,N#Cc1[nH]cc(-c2ccccc2NS(=O)(=O)c2ccccc2)c1[N+](=O)[O-],0.5273141808054491,3.262380000000001,368.3740000000001,26,28,3,2,5
10,True,COc1nc2ccccc2n(C(=O)c2ccccc2N2CCOCC2)c1=O,0.7061645883967345,1.9302,365.38900000000024,27,30,4,0,7
11,True,O=C(COC(=O)CCN1CCc2ccccc21)Nc1ccccc1,0.8300022944620062,2.6211,324.38000000000005,24,26,3,1,4
12,True,COC(=O)c1cccn(CCC(=O)OCc2ccccc2)c1=O,0.7595085466066308,1.7683999999999997,315.325,23,24,2,0,6
13,True,COc1ccccc1CNC(=O)Cc1cccs1,0.8981727315073723,2.6156000000000006,261.34599999999995,18,19,2,1,3
14,True,CC(=O)Nc1ccc(C(=O)OCC(=O)OCc2ccc(C=O)cc2)cc1,0.6045984791684849,2.3577000000000004,355.346,26,27,2,1,6
15,True,C=CCNC(=O)C1C=CC=C2OC3C=CC=CC231,0.7659799920221559,1.8697,241.29,18,20,3,1,2
16,True,Cn1ccc(-c2ccc3c(c2)C(=O)C(=O)N3)n1,0.744869644997585,1.2219,227.22299999999998,17,19,3,1,4
17,True,CCOC(=O)c1ccc(NC(=O)CCSc2nnc(-c3ccccc3Cl)n2C)cc1,0.4081922667145005,4.433100000000003,444.9440000000001,30,32,3,1,7
18,True,CCCCCNC(=O)CCn1nnc2ccccc2c1=O,0.783030460834455,1.4879999999999995,288.35100000000006,21,22,2,1,5
19,True,CC1=NN=C(C)C1CCCn1c2ccccc2c2ccccc21,0.6459858083142994,5.041300000000005,303.40900000000005,23,26,4,0,3
20,True,Cc1ccc(C(=O)Nc2cccc3cccnc23)cc1,0.7629621961121291,3.7955200000000016,262.312,20,22,3,1,2
21,True,O=C(NCc1ccccc1NC(=O)c1ccc(F)cc1)c1ccc(F)cc1,0.7127864692571697,4.147100000000003,366.367,27,29,3,2,2
22,True,CC(=NNC(=O)Cc1cccc2ccccc12)c1cccnc1,0.5935823966785442,3.317700000000002,303.365,23,25,3,1,3
23,False,,,,,,,,,
24,True,Cc1cccc(C(=O)NCCNC(=O)c2ccc(C)n2-c2ncccc2Cl)c1,0.6274907868930293,3.302340000000002,396.87800000000004,28,30,3,2,4
25,True,COc1ccc(S(=O)(=O)NCCc2ccccn2)cc1,0.8780341423390706,1.6111999999999997,292.36,20,21,2,1,4
26,True,COc1ccc(CNC(=O)c2ccccc2-c2ccccc2)cc1,0.7620289341426721,4.292200000000003,317.38800000000003,24,26,3,1,2
27,True,CCOC(=O)c1ccc2ccccc2c1-c1ccccc1,0.648964717249022,4.683500000000004,276.335,21,23,3,0,2
28,True,CCNC(=O)c1cccc2c1C(=O)N(CC)C2=O,0.8106016479772592,1.0522000000000002,246.26599999999993,18,19,2,1,3
29,True,CNC(=O)c1c(C)oc2cc(Cl)ccc2c1=O,0.8445384381645479,2.11442,251.66899999999998,17,18,2,1,3
30,True,CC(=O)Oc1cccc(NC(=O)CCCSCC(=O)c2ccccc2)c1,0.3127237875535779,3.9467000000000025,371.458,26,27,2,1,5
31,True,CCCC(=O)C1=COC2=CC=C3C(C)=CC=C3C21,0.7530926624493872,3.5961000000000025,240.302,18,20,3,0,2
32,True,COc1ccc(CNC(=O)OC(C)C(=O)Nc2ccc(C)cc2)cc1OC,0.779071356573952,3.265620000000002,372.4210000000001,27,28,2,2,5
33,True,COc1ccc2cc(C)n(CC(=O)OCCOc3cccc(C(=O)O)c3)c(=O)c2c1,0.4488051013299627,2.6389200000000006,411.4100000000001,30,32,3,1,7
34,True,O=CCn1c(SCCS(=O)(=O)c2ccc(Cl)cc2Cl)nc2ccccc21,0.4177975112817902,4.108000000000002,429.3500000000001,26,28,3,0,6
35,True,CCOC(=O)c1ccnc2ccccc12,0.7002305868417755,2.4115,201.225,15,16,2,0,3
36,True,COc1cccc2ccc(C(=O)NCc3ccc(F)cc3)cc12,0.7930948884436927,3.917500000000002,309.34000000000003,23,25,3,1,2
37,True,O=C(O)COc1ccc(S(=O)(=O)NCc2ccc(Cl)cc2)cc1,0.7944503161693985,2.2819000000000003,355.799,23,24,2,2,4
38,True,O=C(COc1ccccc1-c1nc2ccccc2s1)OCc1ccccc1F,0.4212863211435327,5.224600000000003,393.4390000000001,28,31,4,0,5
39,True,COc1ccccc1CNCc1ccc2ccccc2n1,0.7749174563866917,3.5332000000000017,278.355,21,23,3,1,3
40,True,COc1ccc(N2C(=O)CN(CCCOC(=O)c3ccc4nc(C)[nH]c4c3)C2=O)cc1,0.3566336346051842,2.895620000000001,422.4410000000001,31,34,4,1,6
