idx,valid,smiles,qed,logP,mol_weight,num_atoms,num_bonds,num_rings,hbd,hba
0,True,Cc1cc(C)n(C2=CN=NC2=O)n1,0.6468569409834722,1.2907399999999998,176.179,13,14,2,0,4
1,True,COCCCn1cc(C(=O)NCC2CCCO2)c(=O)c2cc3ccccc3nc21,0.4909649777694794,2.495,395.4590000000001,29,32,4,1,6
2,True,Cc1csc(NC(=O)CN2C(=O)c3cc(Cl)ccc3C(O)C2=O)n1,0.8072257085287899,1.75942,365.79800000000006,24,26,3,2,6
3,True,Cc1ccc2c(=O)nc(-n3ccnc3)[nH]c2c1,0.6820766604647589,1.4172199999999997,226.23900000000003,17,19,3,1,4
4,True,Nn1nnnc1SCC(=O)Nc1ccc2ncsc2c1,0.5394494521102424,0.7273999999999998,307.36400000000003,20,22,3,2,9
5,True,CCOc1ccccc1C(=O)NC1CCCCC1,0.887246029963004,3.147800000000002,247.3379999999999,18,19,2,1,2
6,True,O=C(COc1cc(Cl)ccc1Cl)Nc1cccc(C(F)(F)F)c1,0.8265762328977323,5.029700000000001,364.15,23,24,2,1,2
7,True,O=c1c2cc3ccccc3[nH]c-2nc2ccccc12,0.48423454597052357,3.1811000000000007,246.269,19,22,4,1,2
8,True,Cc1ccc(C(=O)Nc2ccsc2C(=O)Oc2ccccc2)cc1,0.5620534363918473,4.528020000000003,337.40000000000003,24,26,3,1,4
9,True,Cc1cc(C)c2c(=O)n(C)c(=O)c3ccccc3c2n1,0.6255758923160255,2.0637399999999997,266.3,20,22,3,0,4
10,True,COCCNC(=O)c1ccc(S(=O)(=O)NNC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)cc1,0.2811517646868913,-0.29299999999999704,526.5930000000004,35,37,3,3,8
11,True,COc1cccc(Cl)c1-c1cnnc(N)n1,0.8604777403879401,1.7828,236.66199999999998,16,17,2,1,5
12,True,O=C(CCc1nc2ccccc2[nH]1)NCC1=COc2ccccc2O1,0.7515423040798737,2.924500000000001,335.36300000000006,25,28,4,2,4
13,True,NCC(O)C(O)CC(=O)c1cc(I)c(O)cc1C(=O)NC(=O)C(O)C(O)C(O)C(O)C(=O)OC(C=O)CNCC(N)=O,0.03097392058193964,-5.86429999999999,714.4190000000001,42,42,1,11,16
14,True,NC(=O)c1ccc(CNC(=O)c2ccccc2C(=O)OCN2CCOCC2)cc1,0.678591018980516,1.1619999999999997,397.43100000000027,29,31,3,2,6
15,True,COc1ccc(C(=O)C2CCCC=C2c2cccc([N+](=O)[O-])c2)cc1,0.45149811911563154,4.669800000000005,337.375,25,27,3,0,4
16,True,CCCCC(=O)Nc1ccccc1CNC(=O)c1ccc(Cl)cc1[N+](=O)[O-],0.5184570046646789,4.306900000000003,389.83900000000006,27,28,2,2,4
17,True,COc1ccc(CC(=O)NCCN2CCOCC2)cc1,0.8314734628727296,0.6861000000000004,278.3519999999999,20,21,2,1,4
18,True,O=c1cnc(C(F)(F)F)cn1-c1ccc(Cl)cc1Cl,0.8071396605155581,3.5581000000000014,309.07400000000007,19,20,2,0,3
19,True,CC(=O)Nc1ccc(NC(=O)CN2C(=O)CC(Cc3ccccc3)C2=O)cc1,0.7523929608451303,2.2013,379.41600000000005,28,30,3,2,4
20,True,CCCCN=NC(=O)COC(=O)c1ccc(Cl)cc1,0.4566721762739445,3.2757000000000023,282.727,19,19,1,0,4
