idx,valid,smiles,qed,logP,mol_weight,num_atoms,num_bonds,num_rings,hbd,hba
0,True,CCOC(=O)C1=C(C)N2c3ccccc3N=C(NCCCN3CCOCC3)C12[N+](=O)[O-],0.3017302934041702,1.6722000000000001,429.4770000000004,31,34,4,1,9
1,True,S=c1[nH]nc(-c2cccc(Cl)c2Cl)n1-c1ccc(Cl)cc1,0.6100588830057803,5.557090000000001,356.6650000000001,21,23,3,1,3
2,True,O=c1[nH]c2cccc(O)c2c2ccc(Br)cc12,0.6248324042238945,3.149400000000001,290.116,17,19,3,2,2
3,True,COc1ccc(CCNC(=O)C2CCCN(C(=O)c3ccccc3F)C2)cc1,0.832873033245625,3.0454000000000017,384.4510000000001,28,30,3,1,3
4,True,CC(=O)c1cccc(NC(=O)CNCc2ccc(F)cc2)c1,0.8065374404895791,2.7566000000000006,300.33299999999997,22,23,2,2,3
5,True,Cc1cc(C)c2cnc(SCCNS(=O)(=O)c3ccccc3F)nc2n1,0.3944550166461257,2.8513400000000004,392.4810000000001,26,28,3,1,6
6,True,Cc1nnc(CCNC(=O)c2cccc(C(=O)Nc3ccccc3C)c2)s1,0.6866013309065325,3.3797400000000017,380.4730000000001,27,29,3,2,5
7,True,Cc1ccc(OCC(=O)Nc2cccc(C(=O)c3ccco3)c2)cc1,0.6950838860974393,3.836520000000002,335.35900000000004,25,27,3,1,4
8,True,O=C(C1=CC=CC1)N1CCN(Cc2ccccc2[N+](=O)[O-])CC1,0.6306659678292181,2.1253,313.35700000000014,23,25,3,0,4
9,False,,,,,,,,,
10,True,COc1ccccc1C=CC(=O)C1=C(O)C=CC2C=CC=CC2=C1O,0.8094230473563258,4.213700000000003,334.37100000000004,25,27,3,2,4
11,True,Cc1cccc(OCC(=O)NCCCN2CCc3ccccc3C2)c1,0.7894108001594515,2.9384200000000016,338.451,25,27,3,1,3
12,True,CCOC(=O)c1ccccc1NC(=O)CON=C1Cc2ccccc2C=C1c1cn2ccccc2n1,0.3077474421917848,4.619000000000003,480.52400000000017,36,40,5,1,7
13,True,CCOC(=O)C1CCN(C(=O)c2cc3n(c2-c2ccccc2)-c2ccccc2-3)CC1,0.4727413898287944,4.540000000000004,400.4780000000002,30,34,5,0,4
14,False,,,,,,,,,
15,False,,,,,,,,,
16,True,COC(=O)C1=C(C(=O)Nc2ccccc2C2=Nc3ccccc3C2=O)C(C)=NC1C,0.7953102507098514,3.2748000000000017,401.4220000000002,30,33,4,1,6
17,True,Cc1c(S(=O)(=O)Nc2ccc(Cl)cc2)oc2cc(Cl)ccc12,0.7298928709983288,4.848820000000002,356.2300000000001,22,24,3,1,3
18,True,Cc1ccc(C(=O)NCC(=O)Nc2ccccc2Oc2ccccc2)cc1,0.6936654863964034,4.155820000000003,360.4130000000001,27,29,3,2,3
19,True,CC(=O)Nc1ccc(S(=O)(=O)NC=COc2ccc(Cl)cc2)cc1,0.7690821375320992,3.126900000000002,366.826,24,25,2,2,4
20,True,Cc1ccc(Cc2nnc(CC(=O)NCc3cccc(Br)c3)s2)c(C)c1,0.6321861229701728,4.367140000000004,430.37100000000004,26,28,3,1,4
21,True,CCCCNC(=O)Cn1cnc2c1N=CC=CC2,0.8023915606903018,1.6139999999999997,246.314,18,19,2,1,4
22,True,COc1ccc2c(c1)OC(=O)C(CCCC(=O)Nc1cc(Cl)ccc1OC)C=C2,0.523069803595431,4.7146000000000035,415.87300000000016,29,31,3,1,5
23,True,COc1ccc(-c2ccnc(SCC(=O)Nc3ccc4ccccc4c3)n2)cc1,0.36233836453999574,5.036200000000004,401.49100000000004,29,32,4,1,5
24,True,O=C(CCN1CCN(c2ccccc2)CC1)Nc1ccccc1,0.9223217334838679,2.8374000000000006,309.413,23,25,3,1,3
25,True,CCCCn1c(=O)oc2ccc(S(=O)(=O)NCc3ccccc3)cc21,0.7023616543248153,2.873100000000001,360.4350000000001,25,27,3,1,5
26,True,COc1ccc(C(=O)c2cncc3ccccc23)cc1,0.679073217882858,3.474400000000002,263.296,20,22,3,0,3
27,True,CCCCCCCC=C=CCCCCCCC(=O)C(C)NC(=O)c1ccccc1C(=O)OC(C)CN1CC=CNC1=O,0.09964149732086874,6.870600000000008,579.7820000000003,42,43,2,2,5
28,True,Cc1ccc(S(=O)(=O)CC(=O)NC(=O)Nc2ccc(C)cc2Br)cc1,0.7872610850790014,3.187940000000002,425.3040000000001,25,26,2,2,4
29,True,O=C(O)c1ccc(C(=O)O)c([N+](=O)[O-])c1,0.5680355095516045,0.9911999999999999,211.12899999999996,15,15,1,2,4
30,True,COc1cccc(NC(=O)CSc2nc(=O)c3cc(OC)c(OC)cc3n2Cc2cccs2)c1,0.2728355552732441,4.262900000000003,497.59800000000024,34,37,4,1,9
31,True,Cc1ccc(O)c(NC(=O)c2ccccc2[N+](=O)[O-])c1,0.5101517340433694,2.8611200000000006,272.26000000000005,20,21,2,2,4
32,True,CCOC(=O)c1cn(C)c2cc(Cl)c(S(=O)(=O)N3CCOCC3)cc12,0.7511595440303671,2.0293,386.85700000000026,25,27,3,0,6
33,True,CCN1CCN(CC(=O)Nc2cccc(C(F)(F)F)c2)CC1,0.9258118028096695,2.2813999999999997,315.3390000000001,22,23,2,1,3
34,True,Cc1ccc(C(=O)Nc2cc3ccccc3n2C(C)C(=O)OC(C)C(=O)Nc2ccc(F)cc2C(F)(F)F)cc1,0.2015424790644641,6.4913200000000035,555.5280000000002,40,43,4,2,5
35,True,Cc1cccc(NC(=O)CC(=O)OCc2ccccc2)n1,0.6761777817505641,2.4620200000000008,284.315,21,22,2,1,4
36,True,CC(=O)Nc1ccc(CC(=O)OCC(=O)Nc2ccc(C)cc2C(=O)C2Oc3ccccc3C2=O)cc1,0.2752234310272596,3.5044200000000023,500.50700000000023,37,40,4,2,7
37,True,Cc1cccc(NC(=S)NCCNC(=O)c2ccccc2)c1,0.5867328977839428,2.7114200000000004,313.426,22,23,2,3,2
38,True,Cc1cc(C)n(-c2cccc(S(=O)(=O)Nc3ccccc3)c2)n1,0.7995395894134016,3.2899400000000014,327.40900000000005,23,25,3,1,4
39,True,CCOC(=O)c1cccc(NS(=O)(=O)c2ccc(F)cc2C)c1,0.8510369641616079,3.111620000000001,337.37200000000007,23,24,2,1,4
40,True,O=C1Nc2ccccc2C1=Nc1ccccc1C(=O)O,0.8758632879054865,2.4577,266.256,20,22,3,2,3
41,True,COc1ccc(C(=O)NCCCN=Cc2cc3cccc(C)c3[nH]c2=O)cc1,0.49021078105571814,3.0841200000000013,377.4440000000001,28,30,3,2,4
42,True,O=C(NCc1ccco1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,0.8792075675610356,2.1358000000000006,366.41400000000004,25,27,3,1,4
43,True,CCCCNC(=O)CCCNC(=O)c1ccccn1,0.6983125034069491,1.5078999999999998,263.34099999999995,19,19,1,2,3
44,True,COc1cccc(NC(=O)c2ccc(C)cc2N2C(=O)C=CC2=O)c1,0.8711619518674744,2.685320000000001,336.34700000000004,25,27,3,1,4
