index,valid,smiles,qed,logP,num_atoms,num_heavy_atoms
0,True,NS(=O)(=O)c1cccc(CNc2cccc3ccccc23)c1,0.7772967384296481,3.0993000000000013,22,22
1,True,CCc1ccccc1N1C(=O)[C@H](C)C(=O)NC1=S,0.6508025791418497,1.6328,18,18
2,True,CCOC(=O)Nc1ccc(O)c(C(=O)[C@H]2CCCCN(C(=O)c3ccccc3)C2)c1,0.5718181838264789,4.085800000000003,30,30
3,True,CC(=O)Nc1ccc(CNC(=O)CCC(=O)OCC2=C(C)N(C)Cc3ccccc3C2=O)cc1,0.5828859639259778,3.1869000000000014,34,34
4,True,COc1cccc(OCc2nnc(SCC(=O)Nc3ccc(F)cc3)o2)c1,0.5899114630430787,3.5271000000000017,27,27
5,True,Cc1cccc2c(=O)nc(-c3ccccc3)[nH]c12,0.7057349906131068,2.8985200000000004,18,18
6,True,COc1ccc(Cl)cc1CC(=O)NC1CCN(C(=O)c2ccccc2)CC1,0.8571558844971569,3.312100000000002,27,27
7,True,S=C(Cc1cccc2ccccc12)NCc1ccccc1,0.7103236545880752,4.499500000000003,21,21
8,True,CC(=O)c1ccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)cc1,0.6478352815582157,3.4272000000000027,29,29
9,True,CC(C)Oc1ccc(Cn2nnnc2-c2ccc(Cl)cc2Cl)cc1,0.6706416355343437,4.482400000000004,24,24
10,True,O=c1[nH]c2ccccc2n1Cc1ccccc1,0.7126447203202548,2.3779000000000003,17,17
11,True,COC(=O)CSC1=CC(C)=NC2C=CC=CC2=N1,0.7321855900858314,2.1441,18,18
12,True,Cc1ccc(-c2n[nH]c(=O)c3c2=C2C=CC=CC2N=3)cc1,0.8445958864317291,1.02382,21,21
13,True,O=C(COc1ccsc1-c1ccc2ccccc2n1)c1cc2ccccc2o1,0.3497357416491885,5.971200000000005,28,28
14,True,CS(=O)(=O)c1ccc(Cl)c(C(=O)N[C@@H]2CCCc3ccccc3C2)c1,0.8333847567967123,3.4209000000000023,25,25
15,True,CCOc1ccc(NC(=O)NC[C@H]2CC=CO2)cc1,0.8567948713479947,2.5094000000000003,19,19
16,True,COC(=O)C=Cc1ccc2[nH]c(=O)c3ccccc3n12,0.5705875282673674,1.9669999999999996,20,20
17,True,NS(=O)(=O)c1cccc(NC(=O)CCn2c(=O)oc3ccccc32)c1,0.7079536803590094,1.2706999999999997,25,25
18,True,CCOC(=O)c1ccc(C(=O)CC[C@@H]2C(=O)NC(=O)N=C2C)cc1,0.6358479922384352,2.1531000000000002,24,24
19,True,CCOC(=O)c1ccc(C(=O)NNCCCOc2c(Cl)cc3ccccc3c2Cl)cc1,0.26576019322859473,5.026800000000004,31,31
20,True,COc1ccc(C=NNC(=O)c2ccc(=O)n(CCc3ccc(Br)cc3)c2)cc1,0.43798850990430016,3.626000000000002,29,29
21,True,CCCn1c(=O)cnc2ccccc21,0.7199561036672064,1.8065,14,14
22,True,O=C(Cn1c(=O)[nH]c2ccccc2c1=O)NN=Cc1ccccc1,0.5501129123714948,0.840099999999999,24,24
23,True,CCOC(=O)c1ccc(C(=O)NCCCCN2CCN(c3cccc(O)c3)CC2)cc1,0.4749457393442296,2.9011000000000013,31,31
24,True,CC(=O)Nc1ccc(S(=O)(=O)NCCCc2ccccc2)cc1,0.7652484500318492,2.5561000000000007,23,23
25,True,Cc1ccc(CNC(=O)CCc2nnc(-c3ccccc3)o2)cc1,0.7562150767521222,3.2940200000000024,24,24
26,True,CCCn1c(C(=O)Nc2ccccc2)nc2ccccc21,0.7912264043842344,3.6986000000000017,21,21
27,True,Cc1ccc(S(=O)(=O)Nc2ccc(NC(=O)CCN3CN=C4OCC=C4C3=O)cc2)cc1,0.6656902529253581,2.2792200000000005,32,32
28,True,CN=CCN1C=C(C(=O)c2ccc3c(c2)N[C@@H](CCN2CCOCC2)C(Cl)=CCNC3=O)C=CC1,0.44477274902203234,2.6945000000000006,35,35
29,True,COc1ccccc1Oc1cc(=O)[nH]c2ccccc12,0.7915191615474512,3.3290000000000015,20,20
30,True,O=C(N=NC(=O)c1ccncc1)c1ccccc1,0.7556513039790862,2.5144,18,18
31,True,O=C1N=C(C(F)(F)F)C(Cl)C(=O)N1c1ccccc1,0.7467999224638685,2.7639000000000005,19,19
32,True,C=C(C)c1nnc(C(=O)c2ccccc2N=C2C(=O)NC(=O)N(C)C2=O)s1,0.8001815537386009,1.5829,27,27
33,True,COC(=O)c1ccc(CNC(=O)Cc2nnc3ccc(-c4c(F)cccc4Cl)nn23)cc1,0.4499628176878952,3.229300000000001,32,32
34,True,CCCOc1ccc(CNC(=O)Cc2cccc3ccccc23)cc1,0.6917790108053194,4.487500000000003,25,25
35,True,Cc1ccc2c(c1)[C@@]1(NC(=O)N(C)C1=O)C(=O)N2,0.5102251183162222,0.32401999999999964,18,18
36,True,NS(=O)(=O)c1ccc(NC(=S)NC[C@H]2COc3ccccc3O2)cc1,0.6912520293945787,1.4604000000000001,25,25
37,True,Cc1ccc(-c2nccc3ccc(O)cc23)cc1,0.6931750499865573,3.915820000000002,18,18
38,True,C[C@@H](NC(=O)CN1C(=O)c2ccccc2C1=O)c1ccccc1,0.8802372911961276,2.16,23,23
39,True,CC(=O)NNC(=O)c1ccc(C(=O)OC2=CCCCc3ccccc32)cc1,0.647678581930052,3.0017000000000014,27,27
40,True,COc1ccc(C(=O)NCCc2ccc3[nH]c(C)c(C)c3c2)cc1,0.7511701688446836,3.7658400000000025,24,24
41,True,COC(=O)Nc1ccc(CC(=O)N2CCC[C@H](c3cc4ccccc4o3)C2)cc1,0.7064954903954492,4.559800000000004,29,29
42,True,Cc1ccccc1C1NC2C=c3ccccc3=CN21,0.8216699883552708,1.45722,19,19
43,True,CCOC(=O)c1ccc(OCCCCSC2=c3ccccc3=NC2)cc1,0.5030639071469697,3.1971000000000016,26,26
44,True,CCCC1=CC(=O)NC2=CC(C)=C3C=CC=C[C@@H]3N12,0.82148993710477,2.768300000000001,19,19
45,True,CC(=O)C1=C2CC=CC=C2OC2=c3ccccc3=CC2=C1N,0.8534085197334265,1.5613000000000001,22,22
46,True,CCOc1cccc(C(=O)N[C@H](C)C(=O)Nc2cccc(Cl)c2)c1,0.840855307855006,3.495700000000001,24,24
47,True,CN1CCN(S(=O)(=O)c2ccc(S(=O)(=O)NCCC(=O)Nc3ccc4c(c3)OCO4)cc2)CC1,0.5290063733422762,0.6585000000000003,34,34
48,True,CCOC(=O)c1ccc(CNC(=O)CNS(=O)(=O)c2ccc(F)c(OC)c2)cc1,0.5919243589230165,1.6056999999999997,29,29
49,True,CC1CCN(C(=O)[C@H]2CCn3ncc(C(=O)NCc4ccccc4)c3N2)CC1,0.8514532957935841,2.2558,28,28
50,True,COc1ccccc1-c1cc2nnc(C)c(Cc3ccccc3)n2n1,0.5724029271145903,3.6991200000000024,25,25
51,True,CCOC(=O)Nc1nnc(SCC(=O)Oc2ccc(C)cc2)s1,0.36916173188476387,3.1126200000000015,23,23
52,True,Cc1ccc(NC(=O)c2sccc2NCc2ccc3[nH]c(=O)oc3c2)cc1,0.4808877911768044,4.355420000000002,27,27
53,True,O=C(O)c1ccc(Cl)c(C(=O)N[C@@H]2CCCc3ccccc3C2)c1,0.8346677003383695,3.715600000000003,24,24
54,True,CC(=O)c1ccc(NC(=O)c2ccc(C(=O)N=Cc3csc(-c4ccc(F)cc4)n3)o2)cc1,0.3118790334141331,5.256400000000004,33,33
55,True,Cc1cccc(C(=O)[C@H]2CCCN(C(=O)c3ccc(CO)o3)C2)c1,0.8767181286412854,2.8154200000000014,24,24
